componente,unidade,Valor por 100g,Colher sopa cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,496,198,BRC0069K,Nome não encontrado
Energia,kcal,118,47,BRC0069K,Nome não encontrado
Umidade,g,"73,9","29,6",BRC0069K,Nome não encontrado
Carboidrato total,g,"19,3","7,72",BRC0069K,Nome não encontrado
Carboidrato disponível,g,"19,3","7,72",BRC0069K,Nome não encontrado
Proteína,g,"2,90","1,16",BRC0069K,Nome não encontrado
Lipídios,g,"3,20","1,28",BRC0069K,Nome não encontrado
Fibra alimentar,g,,,BRC0069K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0069K,Nome não encontrado
Cinzas,g,"0,70","0,28",BRC0069K,Nome não encontrado
Colesterol,mg,"12,8","5,12",BRC0069K,Nome não encontrado
Ácidos graxos saturados,g,"1,92","0,77",BRC0069K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,88","0,35",BRC0069K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,05",BRC0069K,Nome não encontrado
Ácidos graxos trans,g,,,BRC0069K,Nome não encontrado
Cálcio,mg,114,"45,7",BRC0069K,Nome não encontrado
Ferro,mg,"0,06","0,02",BRC0069K,Nome não encontrado
Sódio,mg,115,"46,1",BRC0069K,Nome não encontrado
Magnésio,mg,"12,3","4,94",BRC0069K,Nome não encontrado
Fósforo,mg,"86,4","34,6",BRC0069K,Nome não encontrado
Potássio,mg,164,"65,8",BRC0069K,Nome não encontrado
Manganês,mg,,,BRC0069K,Nome não encontrado
Zinco,mg,"0,36","0,14",BRC0069K,Nome não encontrado
Cobre,mg,,,BRC0069K,Nome não encontrado
Selênio,mcg,,,BRC0069K,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0069K,Nome não encontrado
Vitamina A (RAE),mcg,"30,9","12,4",BRC0069K,Nome não encontrado
Vitamina D,mcg,"0,96","0,38",BRC0069K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0069K,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0069K,Nome não encontrado
Riboflavina,mg,"0,15","0,06",BRC0069K,Nome não encontrado
Niacina,mg,"0,08","0,03",BRC0069K,Nome não encontrado
Vitamina B6,mg,"0,04","0,01",BRC0069K,Nome não encontrado
Vitamina B12,mcg,"0,27","0,11",BRC0069K,Nome não encontrado
Vitamina C,mg,"0,72","0,29",BRC0069K,Nome não encontrado
Equivalente de folato,mcg,"4,12","1,65",BRC0069K,Nome não encontrado
Sal de adição,g,,,BRC0069K,Nome não encontrado
Açúcar de adição,g,,,BRC0069K,Nome não encontrado
Gordura de adição,g,,,BRC0069K,Nome não encontrado
Proteína vegetal,g,,,BRC0069K,Nome não encontrado
Proteína animal,g,,,BRC0069K,Nome não encontrado
