componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,259,103,64,38,129,BRC0337B,Nome não encontrado
Energia,kcal,62,24,15,9,31,BRC0337B,Nome não encontrado
Umidade,g,"85,9","34,4","21,5","12,9","43,0",BRC0337B,Nome não encontrado
Carboidrato total,g,"7,92","3,17","1,98","1,19","3,96",BRC0337B,Nome não encontrado
Carboidrato disponível,g,"4,86","1,95","1,22","0,73","2,43",BRC0337B,Nome não encontrado
Proteína,g,"1,20","0,48","0,30","0,18","0,60",BRC0337B,Nome não encontrado
Lipídios,g,"3,56","1,42","0,89","0,53","1,78",BRC0337B,Nome não encontrado
Fibra alimentar,g,"3,06","1,22","0,77","0,46","1,53",BRC0337B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0337B,Nome não encontrado
Cinzas,g,"1,41","0,56","0,35","0,21","0,70",BRC0337B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0337B,Nome não encontrado
Ácidos graxos saturados,g,"1,08","0,43","0,27","0,16","0,54",BRC0337B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,73","0,29","0,18","0,11","0,37",BRC0337B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,42","0,57","0,36","0,21","0,71",BRC0337B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,00","0,00","0,01",BRC0337B,Nome não encontrado
Cálcio,mg,"22,3","8,90","5,56","3,34","11,1",BRC0337B,Nome não encontrado
Ferro,mg,"0,48","0,19","0,12","0,07","0,24",BRC0337B,Nome não encontrado
Sódio,mg,200,"80,2","50,1","30,1",100,BRC0337B,Nome não encontrado
Magnésio,mg,"11,9","4,76","2,97","1,78","5,95",BRC0337B,Nome não encontrado
Fósforo,mg,"28,9","11,6","7,23","4,34","14,5",BRC0337B,Nome não encontrado
Potássio,mg,285,114,"71,4","42,8",142,BRC0337B,Nome não encontrado
Manganês,mg,"0,07","0,03","0,02","0,01","0,03",BRC0337B,Nome não encontrado
Zinco,mg,"0,31","0,12","0,08","0,05","0,15",BRC0337B,Nome não encontrado
Cobre,mg,"0,07","0,03","0,02","0,01","0,03",BRC0337B,Nome não encontrado
Selênio,mcg,"0,60","0,24","0,15","0,09","0,30",BRC0337B,Nome não encontrado
Vitamina A (RE),mcg,666,266,166,"100,0",333,BRC0337B,Nome não encontrado
Vitamina A (RAE),mcg,333,133,"83,3","50,0",166,BRC0337B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0337B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,21","0,49","0,30","0,18","0,61",BRC0337B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0337B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0337B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0337B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01","0,01","0,03",BRC0337B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0337B,Nome não encontrado
Vitamina C,mg,"3,02","1,21","0,76","0,45","1,51",BRC0337B,Nome não encontrado
Equivalente de folato,mcg,"12,0","4,79","3,00","1,80","5,99",BRC0337B,Nome não encontrado
Sal de adição,g,"0,47","0,19","0,12","0,07","0,24",BRC0337B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0337B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0337B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0337B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0337B,Nome não encontrado
