componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (5 g),Porção Média (50 g),codigo_alimento,nome_alimento
Energia,kJ,254,12,126,BRC0079C,Nome não encontrado
Energia,kcal,60,3,30,BRC0079C,Nome não encontrado
Umidade,g,"83,6","4,18","41,8",BRC0079C,Nome não encontrado
Carboidrato total,g,"15,3","0,76","7,63",BRC0079C,Nome não encontrado
Carboidrato disponível,g,"13,0","0,65","6,48",BRC0079C,Nome não encontrado
Proteína,g,"0,61","0,03","0,31",BRC0079C,Nome não encontrado
Lipídios,g,"0,13","0,01","0,06",BRC0079C,Nome não encontrado
Fibra alimentar,g,"2,30","0,11","1,15",BRC0079C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0079C,Nome não encontrado
Cinzas,g,"0,36","0,02","0,18",BRC0079C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0079C,Nome não encontrado
Ácidos graxos saturados,g,,,traços,BRC0079C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,traços,BRC0079C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,traços,BRC0079C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0079C,Nome não encontrado
Cálcio,mg,"8,35","0,42","4,17",BRC0079C,Nome não encontrado
Ferro,mg,"0,10","0,00","0,05",BRC0079C,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0079C,Nome não encontrado
Magnésio,mg,"17,8","0,89","8,89",BRC0079C,Nome não encontrado
Fósforo,mg,"14,6","0,73","7,28",BRC0079C,Nome não encontrado
Potássio,mg,129,"6,49","64,9",BRC0079C,Nome não encontrado
Manganês,mg,"0,30","0,01","0,15",BRC0079C,Nome não encontrado
Zinco,mg,"0,28","0,01","0,14",BRC0079C,Nome não encontrado
Cobre,mg,"0,07","0,00","0,04",BRC0079C,Nome não encontrado
Selênio,mcg,,,traços,BRC0079C,Nome não encontrado
Vitamina A (RE),mcg,,,traços,BRC0079C,Nome não encontrado
Vitamina A (RAE),mcg,,,traços,BRC0079C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0079C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,traços,BRC0079C,Nome não encontrado
Tiamina,mg,"0,06","0,00","0,03",BRC0079C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0079C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0079C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0079C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0079C,Nome não encontrado
Vitamina C,mg,"16,2","0,81","8,09",BRC0079C,Nome não encontrado
Equivalente de folato,mcg,,,traços,BRC0079C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0079C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0079C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0079C,Nome não encontrado
Proteína vegetal,g,"0,61","0,03","0,31",BRC0079C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0079C,Nome não encontrado
