componente,unidade,Valor por 100g,Colher chá cheia (15 g),Colher sobremesa cheia (30 g),Colher sopa cheia (50 g),Pedaço/ Unidade/ Fatia (M) (20 g),codigo_alimento,nome_alimento
Energia,kJ,1376,206,412,688,275,BRC0010K,Nome não encontrado
Energia,kcal,326,48,97,163,65,BRC0010K,Nome não encontrado
Umidade,g,"25,1","3,77","7,53","12,6","5,02",BRC0010K,Nome não encontrado
Carboidrato total,g,"59,6","8,94","17,9","29,8","11,9",BRC0010K,Nome não encontrado
Carboidrato disponível,g,"59,6","8,94","17,9","29,8","11,9",BRC0010K,Nome não encontrado
Proteína,g,"7,20","1,08","2,16","3,60","1,44",BRC0010K,Nome não encontrado
Lipídios,g,"6,50","0,98","1,95","3,25","1,30",BRC0010K,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00",BRC0010K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0010K,Nome não encontrado
Cinzas,g,"1,60","0,24","0,48","0,80","0,32",BRC0010K,Nome não encontrado
Colesterol,mg,"25,6","3,85","7,69","12,8","5,13",BRC0010K,Nome não encontrado
Ácidos graxos saturados,g,"4,01","0,60","1,20","2,01","0,80",BRC0010K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,89","0,28","0,57","0,95","0,38",BRC0010K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,33","0,05","0,10","0,16","0,07",BRC0010K,Nome não encontrado
Ácidos graxos trans,g,,,,traços,,BRC0010K,Nome não encontrado
Cálcio,mg,263,"39,6","79,1",131,"52,7",BRC0010K,Nome não encontrado
Ferro,mg,"0,18","0,03","0,05","0,09","0,04",BRC0010K,Nome não encontrado
Sódio,mg,135,"20,3","40,7","67,8","27,1",BRC0010K,Nome não encontrado
Magnésio,mg,"23,1","3,47","6,93","11,6","4,62",BRC0010K,Nome não encontrado
Fósforo,mg,367,"55,2",110,183,"73,5",BRC0010K,Nome não encontrado
Potássio,mg,367,"55,2",110,183,"73,5",BRC0010K,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00","0,00",BRC0010K,Nome não encontrado
Zinco,mg,"0,83","0,12","0,25","0,42","0,17",BRC0010K,Nome não encontrado
Cobre,mg,,,,traços,,BRC0010K,Nome não encontrado
Selênio,mcg,,,,traços,,BRC0010K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0010K,Nome não encontrado
Vitamina A (RAE),mcg,"65,4","9,82","19,6","32,7","13,1",BRC0010K,Nome não encontrado
Vitamina D,mcg,"0,18","0,03","0,05","0,09","0,04",BRC0010K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,03","0,05","0,09","0,04",BRC0010K,Nome não encontrado
Tiamina,mg,"0,02","0,00","0,01","0,01","0,00",BRC0010K,Nome não encontrado
Riboflavina,mg,"0,43","0,06","0,13","0,21","0,09",BRC0010K,Nome não encontrado
Niacina,mg,"0,22","0,03","0,07","0,11","0,04",BRC0010K,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,01","0,01","0,00",BRC0010K,Nome não encontrado
Vitamina B12,mcg,"0,33","0,05","0,10","0,16","0,07",BRC0010K,Nome não encontrado
Vitamina C,mg,"2,73","0,41","0,82","1,37","0,55",BRC0010K,Nome não encontrado
Equivalente de folato,mcg,"11,6","1,73","3,47","5,78","2,31",BRC0010K,Nome não encontrado
Sal de adição,g,,,,traços,,BRC0010K,Nome não encontrado
Açúcar de adição,g,,,,traços,,BRC0010K,Nome não encontrado
Gordura de adição,g,,,,traços,,BRC0010K,Nome não encontrado
Proteína vegetal,g,,,,traços,,BRC0010K,Nome não encontrado
Proteína animal,g,,,,traços,,BRC0010K,Nome não encontrado
