componente,unidade,Valor por 100g,Concha rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,564,338,BRC0890F,Nome não encontrado
Energia,kcal,134,80,BRC0890F,Nome não encontrado
Umidade,g,"72,4","43,4",BRC0890F,Nome não encontrado
Carboidrato total,g,"0,75","0,45",BRC0890F,Nome não encontrado
Carboidrato disponível,g,"0,61","0,37",BRC0890F,Nome não encontrado
Proteína,g,"20,6","12,4",BRC0890F,Nome não encontrado
Lipídios,g,"5,47","3,28",BRC0890F,Nome não encontrado
Fibra alimentar,g,"0,14","0,08",BRC0890F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0890F,Nome não encontrado
Cinzas,g,"0,79","0,48",BRC0890F,Nome não encontrado
Colesterol,mg,232,139,BRC0890F,Nome não encontrado
Ácidos graxos saturados,g,"2,46","1,47",BRC0890F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,60","0,96",BRC0890F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,82","0,49",BRC0890F,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08",BRC0890F,Nome não encontrado
Cálcio,mg,"13,4","8,06",BRC0890F,Nome não encontrado
Ferro,mg,"0,57","0,34",BRC0890F,Nome não encontrado
Sódio,mg,215,129,BRC0890F,Nome não encontrado
Magnésio,mg,"7,84","4,70",BRC0890F,Nome não encontrado
Fósforo,mg,"62,9","37,7",BRC0890F,Nome não encontrado
Potássio,mg,"81,3","48,8",BRC0890F,Nome não encontrado
Manganês,mg,"0,02","0,01",BRC0890F,Nome não encontrado
Zinco,mg,"2,38","1,43",BRC0890F,Nome não encontrado
Cobre,mg,"0,06","0,03",BRC0890F,Nome não encontrado
Selênio,mcg,"38,1","22,9",BRC0890F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0890F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0890F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0890F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,21","0,13",BRC0890F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0890F,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0890F,Nome não encontrado
Niacina,mg,"2,06","1,24",BRC0890F,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0890F,Nome não encontrado
Vitamina B12,mcg,"0,45","0,27",BRC0890F,Nome não encontrado
Vitamina C,mg,"0,45","0,27",BRC0890F,Nome não encontrado
Equivalente de folato,mcg,"3,53","2,12",BRC0890F,Nome não encontrado
Sal de adição,g,"0,45","0,27",BRC0890F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0890F,Nome não encontrado
Gordura de adição,g,-,-,BRC0890F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0890F,Nome não encontrado
Proteína animal,g,-,-,BRC0890F,Nome não encontrado
