componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,508,305,228,508,BRC0409E,Nome não encontrado
Energia,kcal,121,72,54,120,BRC0409E,Nome não encontrado
Umidade,g,"73,3","44,0","33,0","73,3",BRC0409E,Nome não encontrado
Carboidrato total,g,"2,86","1,72","1,29","2,86",BRC0409E,Nome não encontrado
Carboidrato disponível,g,"2,81","1,69","1,27","2,81",BRC0409E,Nome não encontrado
Proteína,g,"18,7","11,2","8,41","18,7",BRC0409E,Nome não encontrado
Lipídios,g,"3,85","2,31","1,73","3,85",BRC0409E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0409E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0409E,Nome não encontrado
Cinzas,g,"1,30","0,78","0,59","1,30",BRC0409E,Nome não encontrado
Colesterol,mg,"68,3","41,0","30,8","68,3",BRC0409E,Nome não encontrado
Ácidos graxos saturados,g,"1,70","1,02","0,76","1,70",BRC0409E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,05","0,63","0,47","1,05",BRC0409E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,67","0,40","0,30","0,67",BRC0409E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01","0,02",BRC0409E,Nome não encontrado
Cálcio,mg,"45,9","27,5","20,7","45,9",BRC0409E,Nome não encontrado
Ferro,mg,"0,47","0,28","0,21","0,47",BRC0409E,Nome não encontrado
Sódio,mg,122,"73,3","55,0",122,BRC0409E,Nome não encontrado
Magnésio,mg,"26,3","15,8","11,9","26,3",BRC0409E,Nome não encontrado
Fósforo,mg,201,120,"90,7",201,BRC0409E,Nome não encontrado
Potássio,mg,365,219,164,365,BRC0409E,Nome não encontrado
Manganês,mg,"0,02","0,01","0,01","0,02",BRC0409E,Nome não encontrado
Zinco,mg,"0,48","0,29","0,21","0,48",BRC0409E,Nome não encontrado
Cobre,mg,"0,03","0,02","0,02","0,03",BRC0409E,Nome não encontrado
Selênio,mcg,"61,3","36,8","27,6","61,3",BRC0409E,Nome não encontrado
Vitamina A (RE),mcg,"76,1","45,7","34,2","76,1",BRC0409E,Nome não encontrado
Vitamina A (RAE),mcg,"75,9","45,5","34,1","75,9",BRC0409E,Nome não encontrado
Vitamina D,mcg,"0,30","0,18","0,14","0,30",BRC0409E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,90","0,54","0,41","0,90",BRC0409E,Nome não encontrado
Tiamina,mg,"0,11","0,07","0,05","0,11",BRC0409E,Nome não encontrado
Riboflavina,mg,"0,12","0,07","0,05","0,12",BRC0409E,Nome não encontrado
Niacina,mg,"2,85","1,71","1,28","2,85",BRC0409E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0409E,Nome não encontrado
Vitamina B12,mcg,"2,13","1,28","0,96","2,13",BRC0409E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0409E,Nome não encontrado
Equivalente de folato,mcg,"16,6","9,96","7,47","16,6",BRC0409E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0409E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0409E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0409E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0409E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0409E,Nome não encontrado
