componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (25 g),codigo_alimento,nome_alimento
Energia,kJ,1629,407,BRC0190K,Nome não encontrado
Energia,kcal,388,96,BRC0190K,Nome não encontrado
Umidade,g,"19,8","4,95",BRC0190K,Nome não encontrado
Carboidrato total,g,"58,0","14,5",BRC0190K,Nome não encontrado
Carboidrato disponível,g,"57,7","14,4",BRC0190K,Nome não encontrado
Proteína,g,"5,90","1,48",BRC0190K,Nome não encontrado
Lipídios,g,"14,7","3,68",BRC0190K,Nome não encontrado
Fibra alimentar,g,"0,29","0,07",BRC0190K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0190K,Nome não encontrado
Cinzas,g,"1,54","0,39",BRC0190K,Nome não encontrado
Colesterol,mg,"23,6","5,91",BRC0190K,Nome não encontrado
Ácidos graxos saturados,g,"6,98","1,74",BRC0190K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,11","1,53",BRC0190K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,71","0,43",BRC0190K,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,03",BRC0190K,Nome não encontrado
Cálcio,mg,191,"48,0",BRC0190K,Nome não encontrado
Ferro,mg,"0,60","0,15",BRC0190K,Nome não encontrado
Sódio,mg,103,"25,8",BRC0190K,Nome não encontrado
Magnésio,mg,"30,3","7,58",BRC0190K,Nome não encontrado
Fósforo,mg,158,"39,5",BRC0190K,Nome não encontrado
Potássio,mg,268,"67,1",BRC0190K,Nome não encontrado
Manganês,mg,"0,09","0,02",BRC0190K,Nome não encontrado
Zinco,mg,"0,63","0,16",BRC0190K,Nome não encontrado
Cobre,mg,"0,10","0,03",BRC0190K,Nome não encontrado
Selênio,mcg,"3,21","0,80",BRC0190K,Nome não encontrado
Vitamina A (RE),mcg,"48,3","12,1",BRC0190K,Nome não encontrado
Vitamina A (RAE),mcg,"47,3","11,8",BRC0190K,Nome não encontrado
Vitamina D,mcg,"0,12","0,03",BRC0190K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16","0,04",BRC0190K,Nome não encontrado
Tiamina,mg,"0,05","0,01",BRC0190K,Nome não encontrado
Riboflavina,mg,"0,24","0,06",BRC0190K,Nome não encontrado
Niacina,mg,"0,18","0,04",BRC0190K,Nome não encontrado
Vitamina B6,mg,"0,17","0,04",BRC0190K,Nome não encontrado
Vitamina B12,mcg,"0,44","0,11",BRC0190K,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0190K,Nome não encontrado
Equivalente de folato,mcg,"10,9","2,73",BRC0190K,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0190K,Nome não encontrado
Açúcar de adição,g,,,BRC0190K,Nome não encontrado
Gordura de adição,g,-,-,BRC0190K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0190K,Nome não encontrado
Proteína animal,g,-,-,BRC0190K,Nome não encontrado
