componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,455,204,273,BRC0294E,Nome não encontrado
Energia,kcal,109,49,65,BRC0294E,Nome não encontrado
Umidade,g,"79,3","35,7","47,6",BRC0294E,Nome não encontrado
Carboidrato total,g,"3,65","1,64","2,19",BRC0294E,Nome não encontrado
Carboidrato disponível,g,"2,46","1,11","1,48",BRC0294E,Nome não encontrado
Proteína,g,"8,16","3,67","4,90",BRC0294E,Nome não encontrado
Lipídios,g,"7,13","3,21","4,28",BRC0294E,Nome não encontrado
Fibra alimentar,g,"1,19","0,53","0,71",BRC0294E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0294E,Nome não encontrado
Cinzas,g,"1,61","0,72","0,96",BRC0294E,Nome não encontrado
Colesterol,mg,"99,6","44,8","59,8",BRC0294E,Nome não encontrado
Ácidos graxos saturados,g,"3,13","1,41","1,88",BRC0294E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,61","0,73","0,97",BRC0294E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,89","0,40","0,53",BRC0294E,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,07","0,09",BRC0294E,Nome não encontrado
Cálcio,mg,"76,0","34,2","45,6",BRC0294E,Nome não encontrado
Ferro,mg,"0,98","0,44","0,59",BRC0294E,Nome não encontrado
Sódio,mg,394,177,236,BRC0294E,Nome não encontrado
Magnésio,mg,"11,7","5,25","7,00",BRC0294E,Nome não encontrado
Fósforo,mg,162,"73,2","97,6",BRC0294E,Nome não encontrado
Potássio,mg,155,"69,9","93,2",BRC0294E,Nome não encontrado
Manganês,mg,"0,10","0,04","0,06",BRC0294E,Nome não encontrado
Zinco,mg,"0,66","0,29","0,39",BRC0294E,Nome não encontrado
Cobre,mg,"0,18","0,08","0,11",BRC0294E,Nome não encontrado
Selênio,mcg,"2,05","0,92","1,23",BRC0294E,Nome não encontrado
Vitamina A (RE),mcg,172,"77,8",103,BRC0294E,Nome não encontrado
Vitamina A (RAE),mcg,107,"48,4","64,6",BRC0294E,Nome não encontrado
Vitamina D,mcg,"0,20","0,09","0,12",BRC0294E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,41","0,64","0,85",BRC0294E,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,01",BRC0294E,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,02",BRC0294E,Nome não encontrado
Niacina,mg,"0,06","0,03","0,04",BRC0294E,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,03",BRC0294E,Nome não encontrado
Vitamina B12,mcg,"0,61","0,28","0,37",BRC0294E,Nome não encontrado
Vitamina C,mg,"6,19","2,79","3,72",BRC0294E,Nome não encontrado
Equivalente de folato,mcg,"13,7","6,18","8,24",BRC0294E,Nome não encontrado
Sal de adição,g,"0,45","0,20","0,27",BRC0294E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0294E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0294E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0294E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0294E,Nome não encontrado
