componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,535,535,BRC0038J,Nome não encontrado
Energia,kcal,129,128,BRC0038J,Nome não encontrado
Umidade,g,"78,0","78,0",BRC0038J,Nome não encontrado
Carboidrato total,g,"3,53","3,53",BRC0038J,Nome não encontrado
Carboidrato disponível,g,"2,74","2,74",BRC0038J,Nome não encontrado
Proteína,g,"8,39","8,39",BRC0038J,Nome não encontrado
Lipídios,g,"9,18","9,18",BRC0038J,Nome não encontrado
Fibra alimentar,g,"0,80","0,80",BRC0038J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0038J,Nome não encontrado
Cinzas,g,"0,88","0,88",BRC0038J,Nome não encontrado
Colesterol,mg,250,250,BRC0038J,Nome não encontrado
Ácidos graxos saturados,g,"2,56","2,56",BRC0038J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,16","3,16",BRC0038J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,22","2,22",BRC0038J,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,02",BRC0038J,Nome não encontrado
Cálcio,mg,"42,7","42,7",BRC0038J,Nome não encontrado
Ferro,mg,"1,48","1,48",BRC0038J,Nome não encontrado
Sódio,mg,137,137,BRC0038J,Nome não encontrado
Magnésio,mg,"12,7","12,7",BRC0038J,Nome não encontrado
Fósforo,mg,120,120,BRC0038J,Nome não encontrado
Potássio,mg,190,190,BRC0038J,Nome não encontrado
Manganês,mg,"0,09","0,09",BRC0038J,Nome não encontrado
Zinco,mg,"1,04","1,04",BRC0038J,Nome não encontrado
Cobre,mg,"0,07","0,07",BRC0038J,Nome não encontrado
Selênio,mcg,"10,5","10,5",BRC0038J,Nome não encontrado
Vitamina A (RE),mcg,216,216,BRC0038J,Nome não encontrado
Vitamina A (RAE),mcg,167,167,BRC0038J,Nome não encontrado
Vitamina D,mcg,"1,32","1,32",BRC0038J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,39","1,39",BRC0038J,Nome não encontrado
Tiamina,mg,"0,06","0,06",BRC0038J,Nome não encontrado
Riboflavina,mg,"0,39","0,39",BRC0038J,Nome não encontrado
Niacina,mg,"0,54","0,54",BRC0038J,Nome não encontrado
Vitamina B6,mg,"0,03","0,03",BRC0038J,Nome não encontrado
Vitamina B12,mcg,"0,57","0,57",BRC0038J,Nome não encontrado
Vitamina C,mg,"6,39","6,39",BRC0038J,Nome não encontrado
Equivalente de folato,mcg,"35,0","35,0",BRC0038J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0038J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0038J,Nome não encontrado
Gordura de adição,g,-,-,BRC0038J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0038J,Nome não encontrado
Proteína animal,g,-,-,BRC0038J,Nome não encontrado
