componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,433,432,BRC0538E,Nome não encontrado
Energia,kcal,102,102,BRC0538E,Nome não encontrado
Umidade,g,"74,2","74,2",BRC0538E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0538E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0538E,Nome não encontrado
Proteína,g,"23,8","23,8",BRC0538E,Nome não encontrado
Lipídios,g,"0,75","0,75",BRC0538E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0538E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0538E,Nome não encontrado
Cinzas,g,"1,18","1,18",BRC0538E,Nome não encontrado
Colesterol,mg,"83,3","83,3",BRC0538E,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,20",BRC0538E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,10",BRC0538E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,20",BRC0538E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0538E,Nome não encontrado
Cálcio,mg,"10,3","10,3",BRC0538E,Nome não encontrado
Ferro,mg,"0,32","0,32",BRC0538E,Nome não encontrado
Sódio,mg,114,114,BRC0538E,Nome não encontrado
Magnésio,mg,"21,1","21,1",BRC0538E,Nome não encontrado
Fósforo,mg,203,203,BRC0538E,Nome não encontrado
Potássio,mg,248,248,BRC0538E,Nome não encontrado
Manganês,mg,traços,traços,BRC0538E,Nome não encontrado
Zinco,mg,"0,61","0,61",BRC0538E,Nome não encontrado
Cobre,mg,"0,03","0,03",BRC0538E,Nome não encontrado
Selênio,mcg,"33,9","33,9",BRC0538E,Nome não encontrado
Vitamina A (RE),mcg,"11,6","11,6",BRC0538E,Nome não encontrado
Vitamina A (RAE),mcg,"11,6","11,6",BRC0538E,Nome não encontrado
Vitamina D,mcg,"0,10","0,10",BRC0538E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,51",BRC0538E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0538E,Nome não encontrado
Riboflavina,mg,"0,04","0,04",BRC0538E,Nome não encontrado
Niacina,mg,"9,77","9,77",BRC0538E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0538E,Nome não encontrado
Vitamina B12,mcg,"1,14","1,14",BRC0538E,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0538E,Nome não encontrado
Equivalente de folato,mcg,"2,00","2,00",BRC0538E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0538E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0538E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0538E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0538E,Nome não encontrado
Proteína animal,g,"23,8","23,8",BRC0538E,Nome não encontrado
