componente,unidade,Valor por 100g,Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,1635,261,BRC0051R,Nome não encontrado
Energia,kcal,386,61,BRC0051R,Nome não encontrado
Umidade,g,"4,30","0,69",BRC0051R,Nome não encontrado
Carboidrato total,g,"90,7","14,5",BRC0051R,Nome não encontrado
Carboidrato disponível,g,"87,8","14,1",BRC0051R,Nome não encontrado
Proteína,g,"2,00","0,32",BRC0051R,Nome não encontrado
Lipídios,g,"2,31","0,37",BRC0051R,Nome não encontrado
Fibra alimentar,g,"2,83","0,45",BRC0051R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0051R,Nome não encontrado
Cinzas,g,"0,74","0,12",BRC0051R,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0051R,Nome não encontrado
Ácidos graxos saturados,g,"1,36","0,22",BRC0051R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,77","0,12",BRC0051R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,01",BRC0051R,Nome não encontrado
Ácidos graxos trans,g,,,BRC0051R,Nome não encontrado
Cálcio,mg,"52,8","8,45",BRC0051R,Nome não encontrado
Ferro,mg,"1,81","0,29",BRC0051R,Nome não encontrado
Sódio,mg,477,"76,4",BRC0051R,Nome não encontrado
Magnésio,mg,"66,8","10,7",BRC0051R,Nome não encontrado
Fósforo,mg,"87,7","14,0",BRC0051R,Nome não encontrado
Potássio,mg,208,"33,3",BRC0051R,Nome não encontrado
Manganês,mg,,,BRC0051R,Nome não encontrado
Zinco,mg,"0,90","0,14",BRC0051R,Nome não encontrado
Cobre,mg,,,BRC0051R,Nome não encontrado
Selênio,mcg,,,BRC0051R,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0051R,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0051R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0051R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0051R,Nome não encontrado
Tiamina,mg,"0,02","0,00",BRC0051R,Nome não encontrado
Riboflavina,mg,"0,07","0,01",BRC0051R,Nome não encontrado
Niacina,mg,"0,33","0,05",BRC0051R,Nome não encontrado
Vitamina B6,mg,"0,02","0,00",BRC0051R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0051R,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0051R,Nome não encontrado
Equivalente de folato,mcg,"3,99","0,64",BRC0051R,Nome não encontrado
Sal de adição,g,,,BRC0051R,Nome não encontrado
Açúcar de adição,g,,,BRC0051R,Nome não encontrado
Gordura de adição,g,,,BRC0051R,Nome não encontrado
Proteína vegetal,g,,,BRC0051R,Nome não encontrado
Proteína animal,g,,,BRC0051R,Nome não encontrado
