componente,unidade,Valor por 100g,Colher sopa cheia (24 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,369,88,62,BRC0017B,Nome não encontrado
Energia,kcal,88,21,14,BRC0017B,Nome não encontrado
Umidade,g,"73,7","17,7","12,5",BRC0017B,Nome não encontrado
Carboidrato total,g,"23,0","5,51","3,90",BRC0017B,Nome não encontrado
Carboidrato disponível,g,"15,7","3,76","2,67",BRC0017B,Nome não encontrado
Proteína,g,"2,28","0,55","0,39",BRC0017B,Nome não encontrado
Lipídios,g,"0,14","0,03","0,02",BRC0017B,Nome não encontrado
Fibra alimentar,g,"7,27","1,75","1,24",BRC0017B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0017B,Nome não encontrado
Cinzas,g,"0,93","0,22","0,16",BRC0017B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0017B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,01",BRC0017B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0017B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,02","0,01",BRC0017B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0017B,Nome não encontrado
Cálcio,mg,"3,91","0,94","0,66",BRC0017B,Nome não encontrado
Ferro,mg,"0,21","0,05","0,04",BRC0017B,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0017B,Nome não encontrado
Magnésio,mg,"11,5","2,75","1,95",BRC0017B,Nome não encontrado
Fósforo,mg,"34,7","8,33","5,90",BRC0017B,Nome não encontrado
Potássio,mg,211,"50,8","36,0",BRC0017B,Nome não encontrado
Manganês,mg,"0,01","0,00","0,00",BRC0017B,Nome não encontrado
Zinco,mg,"0,18","0,04","0,03",BRC0017B,Nome não encontrado
Cobre,mg,"0,06","0,01","0,01",BRC0017B,Nome não encontrado
Selênio,mcg,"0,90","0,22","0,15",BRC0017B,Nome não encontrado
Vitamina A (RE),mcg,"11,4","2,73","1,94",BRC0017B,Nome não encontrado
Vitamina A (RAE),mcg,"5,70","1,37","0,97",BRC0017B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0017B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,29","0,07","0,05",BRC0017B,Nome não encontrado
Tiamina,mg,"0,11","0,03","0,02",BRC0017B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0017B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0017B,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,00",BRC0017B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0017B,Nome não encontrado
Vitamina C,mg,"8,79","2,11","1,49",BRC0017B,Nome não encontrado
Equivalente de folato,mcg,"19,9","4,78","3,38",BRC0017B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0017B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0017B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0017B,Nome não encontrado
Proteína vegetal,g,"2,28","0,55","0,39",BRC0017B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0017B,Nome não encontrado
