componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,594,BRC1009F,Nome não encontrado
Energia,kcal,141,BRC1009F,Nome não encontrado
Umidade,g,"68,8",BRC1009F,Nome não encontrado
Carboidrato total,g,"2,70",BRC1009F,Nome não encontrado
Carboidrato disponível,g,"2,70",BRC1009F,Nome não encontrado
Proteína,g,"21,7",BRC1009F,Nome não encontrado
Lipídios,g,"4,86",BRC1009F,Nome não encontrado
Fibra alimentar,g,"0,00",BRC1009F,Nome não encontrado
Álcool,g,"0,00",BRC1009F,Nome não encontrado
Cinzas,g,"2,00",BRC1009F,Nome não encontrado
Colesterol,mg,217,BRC1009F,Nome não encontrado
Ácidos graxos saturados,g,"0,89",BRC1009F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,06",BRC1009F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,56",BRC1009F,Nome não encontrado
Ácidos graxos trans,g,"0,02",BRC1009F,Nome não encontrado
Cálcio,mg,142,BRC1009F,Nome não encontrado
Ferro,mg,"1,06",BRC1009F,Nome não encontrado
Sódio,mg,253,BRC1009F,Nome não encontrado
Magnésio,mg,"25,6",BRC1009F,Nome não encontrado
Fósforo,mg,188,BRC1009F,Nome não encontrado
Potássio,mg,321,BRC1009F,Nome não encontrado
Manganês,mg,,BRC1009F,Nome não encontrado
Zinco,mg,"1,51",BRC1009F,Nome não encontrado
Cobre,mg,"0,35",BRC1009F,Nome não encontrado
Selênio,mcg,,BRC1009F,Nome não encontrado
Vitamina A (RE),mcg,"0,00",BRC1009F,Nome não encontrado
Vitamina A (RAE),mcg,"65,2",BRC1009F,Nome não encontrado
Vitamina D,mcg,"0,78",BRC1009F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06",BRC1009F,Nome não encontrado
Tiamina,mg,"0,16",BRC1009F,Nome não encontrado
Riboflavina,mg,"0,26",BRC1009F,Nome não encontrado
Niacina,mg,"1,27",BRC1009F,Nome não encontrado
Vitamina B6,mg,"0,13",BRC1009F,Nome não encontrado
Vitamina B12,mcg,,BRC1009F,Nome não encontrado
Vitamina C,mg,,BRC1009F,Nome não encontrado
Equivalente de folato,mcg,,BRC1009F,Nome não encontrado
Sal de adição,g,"0,00",BRC1009F,Nome não encontrado
Açúcar de adição,g,"0,45",BRC1009F,Nome não encontrado
Gordura de adição,g,-,BRC1009F,Nome não encontrado
Proteína vegetal,g,-,BRC1009F,Nome não encontrado
Proteína animal,g,-,BRC1009F,Nome não encontrado
