componente,unidade,Valor por 100g,Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,1615,258,BRC0059R,Nome não encontrado
Energia,kcal,380,60,BRC0059R,Nome não encontrado
Umidade,g,"4,00","0,64",BRC0059R,Nome não encontrado
Carboidrato total,g,"95,4","15,3",BRC0059R,Nome não encontrado
Carboidrato disponível,g,"94,2","15,1",BRC0059R,Nome não encontrado
Proteína,g,,,BRC0059R,Nome não encontrado
Lipídios,g,"0,10","0,02",BRC0059R,Nome não encontrado
Fibra alimentar,g,"1,22","0,20",BRC0059R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0059R,Nome não encontrado
Cinzas,g,"0,50","0,08",BRC0059R,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0059R,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0059R,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0059R,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0059R,Nome não encontrado
Ácidos graxos trans,g,,,BRC0059R,Nome não encontrado
Cálcio,mg,"5,06","0,81",BRC0059R,Nome não encontrado
Ferro,mg,"0,17","0,03",BRC0059R,Nome não encontrado
Sódio,mg,512,"82,0",BRC0059R,Nome não encontrado
Magnésio,mg,"4,05","0,65",BRC0059R,Nome não encontrado
Fósforo,mg,"3,04","0,49",BRC0059R,Nome não encontrado
Potássio,mg,"5,06","0,81",BRC0059R,Nome não encontrado
Manganês,mg,,,BRC0059R,Nome não encontrado
Zinco,mg,"0,02","0,00",BRC0059R,Nome não encontrado
Cobre,mg,,,BRC0059R,Nome não encontrado
Selênio,mcg,,,BRC0059R,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0059R,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0059R,Nome não encontrado
Vitamina D,mcg,,,BRC0059R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0059R,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0059R,Nome não encontrado
Riboflavina,mg,"0,02","0,00",BRC0059R,Nome não encontrado
Niacina,mg,"0,02","0,00",BRC0059R,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0059R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0059R,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0059R,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0059R,Nome não encontrado
Sal de adição,g,,,BRC0059R,Nome não encontrado
Açúcar de adição,g,,,BRC0059R,Nome não encontrado
Gordura de adição,g,,,BRC0059R,Nome não encontrado
Proteína vegetal,g,,,BRC0059R,Nome não encontrado
Proteína animal,g,,,BRC0059R,Nome não encontrado
