componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,796,437,318,BRC0723A,Nome não encontrado
Energia,kcal,190,104,76,BRC0723A,Nome não encontrado
Umidade,g,"63,1","34,7","25,2",BRC0723A,Nome não encontrado
Carboidrato total,g,"14,4","7,91","5,75",BRC0723A,Nome não encontrado
Carboidrato disponível,g,"12,2","6,71","4,88",BRC0723A,Nome não encontrado
Proteína,g,"11,8","6,51","4,74",BRC0723A,Nome não encontrado
Lipídios,g,"9,99","5,50","4,00",BRC0723A,Nome não encontrado
Fibra alimentar,g,"2,18","1,20","0,87",BRC0723A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0723A,Nome não encontrado
Cinzas,g,"0,67","0,37","0,27",BRC0723A,Nome não encontrado
Colesterol,mg,"39,6","21,8","15,8",BRC0723A,Nome não encontrado
Ácidos graxos saturados,g,"1,16","0,64","0,47",BRC0723A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,36","0,75","0,54",BRC0723A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,49","0,82","0,60",BRC0723A,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,03","0,02",BRC0723A,Nome não encontrado
Cálcio,mg,"13,1","7,21","5,24",BRC0723A,Nome não encontrado
Ferro,mg,"0,46","0,25","0,18",BRC0723A,Nome não encontrado
Sódio,mg,"21,3","11,7","8,54",BRC0723A,Nome não encontrado
Magnésio,mg,"20,4","11,2","8,17",BRC0723A,Nome não encontrado
Fósforo,mg,"94,6","52,0","37,8",BRC0723A,Nome não encontrado
Potássio,mg,139,"76,6","55,7",BRC0723A,Nome não encontrado
Manganês,mg,"0,52","0,29","0,21",BRC0723A,Nome não encontrado
Zinco,mg,"0,82","0,45","0,33",BRC0723A,Nome não encontrado
Cobre,mg,"0,14","0,08","0,06",BRC0723A,Nome não encontrado
Selênio,mcg,"0,70","0,38","0,28",BRC0723A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0723A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0723A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0723A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,17","0,12",BRC0723A,Nome não encontrado
Tiamina,mg,"0,07","0,04","0,03",BRC0723A,Nome não encontrado
Riboflavina,mg,"0,06","0,03","0,02",BRC0723A,Nome não encontrado
Niacina,mg,"5,46","3,00","2,19",BRC0723A,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01",BRC0723A,Nome não encontrado
Vitamina B12,mcg,"0,08","0,04","0,03",BRC0723A,Nome não encontrado
Vitamina C,mg,"2,96","1,63","1,18",BRC0723A,Nome não encontrado
Equivalente de folato,mcg,"5,08","2,79","2,03",BRC0723A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0723A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0723A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0723A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0723A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0723A,Nome não encontrado
