componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,610,610,BRC0034J,Nome não encontrado
Energia,kcal,147,146,BRC0034J,Nome não encontrado
Umidade,g,"74,6","74,6",BRC0034J,Nome não encontrado
Carboidrato total,g,"3,22","3,22",BRC0034J,Nome não encontrado
Carboidrato disponível,g,"2,71","2,71",BRC0034J,Nome não encontrado
Proteína,g,"10,4","10,4",BRC0034J,Nome não encontrado
Lipídios,g,"10,4","10,4",BRC0034J,Nome não encontrado
Fibra alimentar,g,"0,50","0,50",BRC0034J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0034J,Nome não encontrado
Cinzas,g,"1,45","1,45",BRC0034J,Nome não encontrado
Colesterol,mg,203,203,BRC0034J,Nome não encontrado
Ácidos graxos saturados,g,"3,61","3,61",BRC0034J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,28","3,28",BRC0034J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,00","2,00",BRC0034J,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,10",BRC0034J,Nome não encontrado
Cálcio,mg,110,110,BRC0034J,Nome não encontrado
Ferro,mg,"1,41","1,41",BRC0034J,Nome não encontrado
Sódio,mg,305,305,BRC0034J,Nome não encontrado
Magnésio,mg,"14,0","14,0",BRC0034J,Nome não encontrado
Fósforo,mg,176,176,BRC0034J,Nome não encontrado
Potássio,mg,210,210,BRC0034J,Nome não encontrado
Manganês,mg,"0,11","0,11",BRC0034J,Nome não encontrado
Zinco,mg,"1,41","1,41",BRC0034J,Nome não encontrado
Cobre,mg,"0,12","0,12",BRC0034J,Nome não encontrado
Selênio,mcg,"10,0","10,0",BRC0034J,Nome não encontrado
Vitamina A (RE),mcg,108,108,BRC0034J,Nome não encontrado
Vitamina A (RAE),mcg,101,101,BRC0034J,Nome não encontrado
Vitamina D,mcg,"1,08","1,08",BRC0034J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,03","1,03",BRC0034J,Nome não encontrado
Tiamina,mg,"0,11","0,11",BRC0034J,Nome não encontrado
Riboflavina,mg,"0,35","0,35",BRC0034J,Nome não encontrado
Niacina,mg,"1,29","1,29",BRC0034J,Nome não encontrado
Vitamina B6,mg,"0,04","0,04",BRC0034J,Nome não encontrado
Vitamina B12,mcg,"0,72","0,72",BRC0034J,Nome não encontrado
Vitamina C,mg,"4,53","4,53",BRC0034J,Nome não encontrado
Equivalente de folato,mcg,"25,9","25,9",BRC0034J,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0034J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0034J,Nome não encontrado
Gordura de adição,g,-,-,BRC0034J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0034J,Nome não encontrado
Proteína animal,g,-,-,BRC0034J,Nome não encontrado
