componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,788,236,126,BRC0068L,Nome não encontrado
Energia,kcal,190,56,30,BRC0068L,Nome não encontrado
Umidade,g,"63,7","19,1","10,2",BRC0068L,Nome não encontrado
Carboidrato total,g,"24,5","7,35","3,92",BRC0068L,Nome não encontrado
Carboidrato disponível,g,"24,3","7,30","3,89",BRC0068L,Nome não encontrado
Proteína,g,"0,12","0,03","0,02",BRC0068L,Nome não encontrado
Lipídios,g,"10,4","3,11","1,66",BRC0068L,Nome não encontrado
Fibra alimentar,g,"0,15","0,04","0,02",BRC0068L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0068L,Nome não encontrado
Cinzas,g,"1,36","0,41","0,22",BRC0068L,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0068L,Nome não encontrado
Ácidos graxos saturados,g,"1,49","0,45","0,24",BRC0068L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,33","2,20","1,17",BRC0068L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,15","0,35","0,18",BRC0068L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0068L,Nome não encontrado
Cálcio,mg,"10,3","3,09","1,65",BRC0068L,Nome não encontrado
Ferro,mg,"0,40","0,12","0,06",BRC0068L,Nome não encontrado
Sódio,mg,546,163,"87,4",BRC0068L,Nome não encontrado
Magnésio,mg,"8,23","2,47","1,32",BRC0068L,Nome não encontrado
Fósforo,mg,"11,5","3,45","1,84",BRC0068L,Nome não encontrado
Potássio,mg,136,"41,0","21,8",BRC0068L,Nome não encontrado
Manganês,mg,"0,28","0,08","0,05",BRC0068L,Nome não encontrado
Zinco,mg,"0,59","0,18","0,09",BRC0068L,Nome não encontrado
Cobre,mg,"0,04","0,01","0,01",BRC0068L,Nome não encontrado
Selênio,mcg,"6,91","2,07","1,11",BRC0068L,Nome não encontrado
Vitamina A (RE),mcg,"0,47","0,14","0,07",BRC0068L,Nome não encontrado
Vitamina A (RAE),mcg,"0,29","0,09","0,05",BRC0068L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0068L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,13","0,64","0,34",BRC0068L,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,01",BRC0068L,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,00",BRC0068L,Nome não encontrado
Niacina,mg,"0,29","0,09","0,05",BRC0068L,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,00",BRC0068L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0068L,Nome não encontrado
Vitamina C,mg,"3,16","0,95","0,50",BRC0068L,Nome não encontrado
Equivalente de folato,mcg,"2,41","0,72","0,39",BRC0068L,Nome não encontrado
Sal de adição,g,,,,BRC0068L,Nome não encontrado
Açúcar de adição,g,,,,BRC0068L,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0068L,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0068L,Nome não encontrado
Proteína animal,g,-,-,-,BRC0068L,Nome não encontrado
