componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (60 g),codigo_alimento,nome_alimento
Energia,kJ,942,565,BRC0084E,Nome não encontrado
Energia,kcal,226,135,BRC0084E,Nome não encontrado
Umidade,g,"59,8","35,9",BRC0084E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0084E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0084E,Nome não encontrado
Proteína,g,"22,3","13,4",BRC0084E,Nome não encontrado
Lipídios,g,"15,2","9,13",BRC0084E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0084E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0084E,Nome não encontrado
Cinzas,g,"2,45","1,47",BRC0084E,Nome não encontrado
Colesterol,mg,188,113,BRC0084E,Nome não encontrado
Ácidos graxos saturados,g,"4,03","2,42",BRC0084E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,72","2,23",BRC0084E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,14","3,09",BRC0084E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0084E,Nome não encontrado
Cálcio,mg,221,133,BRC0084E,Nome não encontrado
Ferro,mg,"4,91","2,94",BRC0084E,Nome não encontrado
Sódio,mg,157,"94,2",BRC0084E,Nome não encontrado
Magnésio,mg,"61,9","37,1",BRC0084E,Nome não encontrado
Fósforo,mg,262,157,BRC0084E,Nome não encontrado
Potássio,mg,578,346,BRC0084E,Nome não encontrado
Manganês,mg,"0,11","0,07",BRC0084E,Nome não encontrado
Zinco,mg,"2,60","1,56",BRC0084E,Nome não encontrado
Cobre,mg,"0,32","0,19",BRC0084E,Nome não encontrado
Selênio,mcg,,,BRC0084E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0084E,Nome não encontrado
Vitamina A (RAE),mcg,"47,1","28,3",BRC0084E,Nome não encontrado
Vitamina D,mcg,,,BRC0084E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,79","1,07",BRC0084E,Nome não encontrado
Tiamina,mg,"0,08","0,05",BRC0084E,Nome não encontrado
Riboflavina,mg,"0,39","0,23",BRC0084E,Nome não encontrado
Niacina,mg,"21,2","12,7",BRC0084E,Nome não encontrado
Vitamina B6,mg,"0,22","0,13",BRC0084E,Nome não encontrado
Vitamina B12,mcg,"0,94","0,56",BRC0084E,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0084E,Nome não encontrado
Equivalente de folato,mcg,"13,6","8,15",BRC0084E,Nome não encontrado
Sal de adição,g,,,BRC0084E,Nome não encontrado
Açúcar de adição,g,,,BRC0084E,Nome não encontrado
Gordura de adição,g,,,BRC0084E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0084E,Nome não encontrado
Proteína animal,g,"22,3","13,4",BRC0084E,Nome não encontrado
