componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Dose/ Taça (100 mL),codigo_alimento,nome_alimento
Energia,kJ,367,881,605,367,BRC0041H,Nome não encontrado
Energia,kcal,88,212,145,88,BRC0041H,Nome não encontrado
Umidade,g,"86,4",207,142,"86,4",BRC0041H,Nome não encontrado
Carboidrato total,g,"1,57","3,77","2,59","1,57",BRC0041H,Nome não encontrado
Carboidrato disponível,g,"1,57","3,77","2,59","1,57",BRC0041H,Nome não encontrado
Proteína,g,"0,07","0,17","0,12","0,07",BRC0041H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Álcool,g,"11,7","28,1","19,3","11,7",BRC0041H,Nome não encontrado
Cinzas,g,"0,23","0,55","0,38","0,23",BRC0041H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Cálcio,mg,"7,07","17,0","11,7","7,07",BRC0041H,Nome não encontrado
Ferro,mg,"0,21","0,50","0,35","0,21",BRC0041H,Nome não encontrado
Sódio,mg,"0,49","1,18","0,81","0,49",BRC0041H,Nome não encontrado
Magnésio,mg,"7,44","17,9","12,3","7,44",BRC0041H,Nome não encontrado
Fósforo,mg,"9,89","23,7","16,3","9,89",BRC0041H,Nome não encontrado
Potássio,mg,123,295,203,123,BRC0041H,Nome não encontrado
Manganês,mg,"0,12","0,29","0,20","0,12",BRC0041H,Nome não encontrado
Zinco,mg,"0,07","0,17","0,12","0,07",BRC0041H,Nome não encontrado
Cobre,mg,"0,01","0,02","0,02","0,01",BRC0041H,Nome não encontrado
Selênio,mcg,,,,,BRC0041H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,01","0,01",BRC0041H,Nome não encontrado
Riboflavina,mg,"0,03","0,07","0,05","0,03",BRC0041H,Nome não encontrado
Niacina,mg,"0,23","0,54","0,37","0,23",BRC0041H,Nome não encontrado
Vitamina B6,mg,"0,06","0,14","0,10","0,06",BRC0041H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Equivalente de folato,mcg,,,,,BRC0041H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0041H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
Proteína vegetal,g,"0,07","0,17","0,12","0,07",BRC0041H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0041H,Nome não encontrado
