componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,570,285,627,513,BRC0607A,Nome não encontrado
Energia,kcal,136,67,149,121,BRC0607A,Nome não encontrado
Umidade,g,"68,1","34,0","74,9","61,2",BRC0607A,Nome não encontrado
Carboidrato total,g,"18,8","9,38","20,6","16,9",BRC0607A,Nome não encontrado
Carboidrato disponível,g,"16,0","7,99","17,6","14,4",BRC0607A,Nome não encontrado
Proteína,g,"8,26","4,13","9,09","7,44",BRC0607A,Nome não encontrado
Lipídios,g,"3,64","1,82","4,00","3,27",BRC0607A,Nome não encontrado
Fibra alimentar,g,"2,79","1,40","3,07","2,51",BRC0607A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0607A,Nome não encontrado
Cinzas,g,"1,26","0,63","1,39","1,13",BRC0607A,Nome não encontrado
Colesterol,mg,"11,0","5,48","12,1","9,86",BRC0607A,Nome não encontrado
Ácidos graxos saturados,g,"1,46","0,73","1,61","1,32",BRC0607A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,88","0,44","0,97","0,79",BRC0607A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,88","0,44","0,97","0,79",BRC0607A,Nome não encontrado
Ácidos graxos trans,g,"0,07","0,04","0,08","0,07",BRC0607A,Nome não encontrado
Cálcio,mg,"63,5","31,7","69,8","57,1",BRC0607A,Nome não encontrado
Ferro,mg,"0,63","0,31","0,69","0,56",BRC0607A,Nome não encontrado
Sódio,mg,286,143,315,258,BRC0607A,Nome não encontrado
Magnésio,mg,"14,3","7,14","15,7","12,9",BRC0607A,Nome não encontrado
Fósforo,mg,109,"54,7",120,"98,5",BRC0607A,Nome não encontrado
Potássio,mg,130,"65,3",143,117,BRC0607A,Nome não encontrado
Manganês,mg,"0,23","0,12","0,26","0,21",BRC0607A,Nome não encontrado
Zinco,mg,"0,75","0,37","0,82","0,67",BRC0607A,Nome não encontrado
Cobre,mg,"0,17","0,08","0,18","0,15",BRC0607A,Nome não encontrado
Selênio,mcg,"5,80","2,90","6,38","5,22",BRC0607A,Nome não encontrado
Vitamina A (RE),mcg,"9,57","4,79","10,5","8,61",BRC0607A,Nome não encontrado
Vitamina A (RAE),mcg,"4,79","2,39","5,26","4,31",BRC0607A,Nome não encontrado
Vitamina D,mcg,"0,10","0,05","0,11","0,09",BRC0607A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,14","0,30","0,25",BRC0607A,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,09","0,07",BRC0607A,Nome não encontrado
Riboflavina,mg,"0,09","0,05","0,10","0,08",BRC0607A,Nome não encontrado
Niacina,mg,"4,17","2,08","4,58","3,75",BRC0607A,Nome não encontrado
Vitamina B6,mg,"0,35","0,18","0,39","0,32",BRC0607A,Nome não encontrado
Vitamina B12,mcg,"0,09","0,04","0,10","0,08",BRC0607A,Nome não encontrado
Vitamina C,mg,"1,20","0,60","1,31","1,08",BRC0607A,Nome não encontrado
Equivalente de folato,mcg,"17,1","8,53","18,8","15,3",BRC0607A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0607A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0607A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0607A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0607A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0607A,Nome não encontrado
