componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,420,251,188,BRC0488F,Nome não encontrado
Energia,kcal,101,60,45,BRC0488F,Nome não encontrado
Umidade,g,"76,5","45,9","34,4",BRC0488F,Nome não encontrado
Carboidrato total,g,"3,97","2,38","1,79",BRC0488F,Nome não encontrado
Carboidrato disponível,g,"2,83","1,70","1,27",BRC0488F,Nome não encontrado
Proteína,g,"15,6","9,35","7,01",BRC0488F,Nome não encontrado
Lipídios,g,"2,77","1,66","1,24",BRC0488F,Nome não encontrado
Fibra alimentar,g,"1,14","0,68","0,51",BRC0488F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0488F,Nome não encontrado
Cinzas,g,"1,19","0,71","0,53",BRC0488F,Nome não encontrado
Colesterol,mg,"41,6","25,0","18,7",BRC0488F,Nome não encontrado
Ácidos graxos saturados,g,"0,71","0,42","0,32",BRC0488F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,81","0,48","0,36",BRC0488F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,04","0,62","0,47",BRC0488F,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01",BRC0488F,Nome não encontrado
Cálcio,mg,"9,79","5,87","4,40",BRC0488F,Nome não encontrado
Ferro,mg,"0,39","0,24","0,18",BRC0488F,Nome não encontrado
Sódio,mg,234,140,105,BRC0488F,Nome não encontrado
Magnésio,mg,"11,7","7,01","5,26",BRC0488F,Nome não encontrado
Fósforo,mg,125,"75,1","56,3",BRC0488F,Nome não encontrado
Potássio,mg,216,129,"97,2",BRC0488F,Nome não encontrado
Manganês,mg,"0,06","0,04","0,03",BRC0488F,Nome não encontrado
Zinco,mg,"0,57","0,34","0,26",BRC0488F,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02",BRC0488F,Nome não encontrado
Selênio,mcg,"5,59","3,35","2,52",BRC0488F,Nome não encontrado
Vitamina A (RE),mcg,"71,6","43,0","32,2",BRC0488F,Nome não encontrado
Vitamina A (RAE),mcg,"39,4","23,7","17,7",BRC0488F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0488F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,59","0,35","0,26",BRC0488F,Nome não encontrado
Tiamina,mg,"0,07","0,04","0,03",BRC0488F,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00",BRC0488F,Nome não encontrado
Niacina,mg,"3,87","2,32","1,74",BRC0488F,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,02",BRC0488F,Nome não encontrado
Vitamina B12,mcg,"0,06","0,04","0,03",BRC0488F,Nome não encontrado
Vitamina C,mg,"7,17","4,30","3,23",BRC0488F,Nome não encontrado
Equivalente de folato,mcg,"9,68","5,81","4,36",BRC0488F,Nome não encontrado
Sal de adição,g,"0,45","0,27","0,20",BRC0488F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0488F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0488F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0488F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0488F,Nome não encontrado
