componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,111,265,182,221,BRC0049H,Nome não encontrado
Energia,kcal,26,62,43,52,BRC0049H,Nome não encontrado
Umidade,g,"93,5",224,154,186,BRC0049H,Nome não encontrado
Carboidrato total,g,"6,49","15,6","10,7","13,0",BRC0049H,Nome não encontrado
Carboidrato disponível,g,"6,49","15,6","10,7","13,0",BRC0049H,Nome não encontrado
Proteína,g,"0,02","0,05","0,03","0,04",BRC0049H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Cinzas,g,"0,03","0,07","0,05","0,06",BRC0049H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Cálcio,mg,"2,99","7,18","4,93","5,98",BRC0049H,Nome não encontrado
Ferro,mg,"0,13","0,31","0,21","0,26",BRC0049H,Nome não encontrado
Sódio,mg,"0,75","1,79","1,23","1,49",BRC0049H,Nome não encontrado
Magnésio,mg,"2,53","6,07","4,17","5,06",BRC0049H,Nome não encontrado
Fósforo,mg,"2,18","5,24","3,60","4,37",BRC0049H,Nome não encontrado
Potássio,mg,"23,2","55,8","38,3","46,5",BRC0049H,Nome não encontrado
Manganês,mg,"0,21","0,49","0,34","0,41",BRC0049H,Nome não encontrado
Zinco,mg,"0,01","0,02","0,02","0,02",BRC0049H,Nome não encontrado
Cobre,mg,"0,00","0,01","0,00","0,01",BRC0049H,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Tiamina,mg,"2,93","7,02","4,83","5,85",BRC0049H,Nome não encontrado
Riboflavina,mg,"0,46","1,09","0,75","0,91",BRC0049H,Nome não encontrado
Niacina,mg,traços,traços,traços,,BRC0049H,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,,BRC0049H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0049H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0049H,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0049H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0049H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0049H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0049H,Nome não encontrado
