componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,561,84,BRC0008L,Nome não encontrado
Energia,kcal,132,19,BRC0008L,Nome não encontrado
Umidade,g,"66,6","9,99",BRC0008L,Nome não encontrado
Carboidrato total,g,"32,2","4,83",BRC0008L,Nome não encontrado
Carboidrato disponível,g,"31,3","4,70",BRC0008L,Nome não encontrado
Proteína,g,"0,40","0,06",BRC0008L,Nome não encontrado
Lipídios,g,"0,40","0,06",BRC0008L,Nome não encontrado
Fibra alimentar,g,"0,90","0,14",BRC0008L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0008L,Nome não encontrado
Cinzas,g,"0,40","0,06",BRC0008L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0008L,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0008L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0008L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0008L,Nome não encontrado
Ácidos graxos trans,g,-,-,BRC0008L,Nome não encontrado
Cálcio,mg,"8,41","1,26",BRC0008L,Nome não encontrado
Ferro,mg,"0,18","0,03",BRC0008L,Nome não encontrado
Sódio,mg,311,"46,8",BRC0008L,Nome não encontrado
Magnésio,mg,"6,73","1,01",BRC0008L,Nome não encontrado
Fósforo,mg,"5,89","0,88",BRC0008L,Nome não encontrado
Potássio,mg,"83,2","12,5",BRC0008L,Nome não encontrado
Manganês,mg,,,BRC0008L,Nome não encontrado
Zinco,mg,"0,08","0,01",BRC0008L,Nome não encontrado
Cobre,mg,,,BRC0008L,Nome não encontrado
Selênio,mcg,,,BRC0008L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0008L,Nome não encontrado
Vitamina A (RAE),mcg,"20,0","3,00",BRC0008L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0008L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,20","0,03",BRC0008L,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0008L,Nome não encontrado
Riboflavina,mg,"0,02","0,00",BRC0008L,Nome não encontrado
Niacina,mg,"0,16","0,02",BRC0008L,Nome não encontrado
Vitamina B6,mg,"0,05","0,01",BRC0008L,Nome não encontrado
Vitamina B12,mcg,,,BRC0008L,Nome não encontrado
Vitamina C,mg,"7,31","1,10",BRC0008L,Nome não encontrado
Equivalente de folato,mcg,"6,73","1,01",BRC0008L,Nome não encontrado
Sal de adição,g,,,BRC0008L,Nome não encontrado
Açúcar de adição,g,,,BRC0008L,Nome não encontrado
Gordura de adição,g,,,BRC0008L,Nome não encontrado
Proteína vegetal,g,,,BRC0008L,Nome não encontrado
Proteína animal,g,,,BRC0008L,Nome não encontrado
