componente,unidade,Valor por 100g,Colher servir cheia (90 g),codigo_alimento,nome_alimento
Energia,kJ,530,477,BRC0188A,Nome não encontrado
Energia,kcal,126,113,BRC0188A,Nome não encontrado
Umidade,g,"68,3","61,5",BRC0188A,Nome não encontrado
Carboidrato total,g,"23,1","20,8",BRC0188A,Nome não encontrado
Carboidrato disponível,g,"19,1","17,2",BRC0188A,Nome não encontrado
Proteína,g,"5,17","4,65",BRC0188A,Nome não encontrado
Lipídios,g,"2,30","2,07",BRC0188A,Nome não encontrado
Fibra alimentar,g,"3,98","3,59",BRC0188A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0188A,Nome não encontrado
Cinzas,g,"1,09","0,98",BRC0188A,Nome não encontrado
Colesterol,mg,"3,11","2,80",BRC0188A,Nome não encontrado
Ácidos graxos saturados,g,"0,45","0,41",BRC0188A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,76","0,68",BRC0188A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,14","1,03",BRC0188A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0188A,Nome não encontrado
Cálcio,mg,"33,3","30,0",BRC0188A,Nome não encontrado
Ferro,mg,"0,56","0,51",BRC0188A,Nome não encontrado
Sódio,mg,"93,3","84,0",BRC0188A,Nome não encontrado
Magnésio,mg,"18,7","16,8",BRC0188A,Nome não encontrado
Fósforo,mg,"71,7","64,5",BRC0188A,Nome não encontrado
Potássio,mg,157,141,BRC0188A,Nome não encontrado
Manganês,mg,"0,27","0,24",BRC0188A,Nome não encontrado
Zinco,mg,"0,60","0,54",BRC0188A,Nome não encontrado
Cobre,mg,"0,08","0,07",BRC0188A,Nome não encontrado
Selênio,mcg,,,BRC0188A,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0188A,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0188A,Nome não encontrado
Vitamina D,mcg,,,BRC0188A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0188A,Nome não encontrado
Tiamina,mg,"0,04","0,03",BRC0188A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0188A,Nome não encontrado
Niacina,mg,traços,traços,BRC0188A,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0188A,Nome não encontrado
Vitamina B12,mcg,,,BRC0188A,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0188A,Nome não encontrado
Equivalente de folato,mcg,,,BRC0188A,Nome não encontrado
Sal de adição,g,,,BRC0188A,Nome não encontrado
Açúcar de adição,g,,,BRC0188A,Nome não encontrado
Gordura de adição,g,-,-,BRC0188A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0188A,Nome não encontrado
Proteína animal,g,-,-,BRC0188A,Nome não encontrado
