componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,386,135,65,540,309,BRC0062T,Nome não encontrado
Energia,kcal,92,32,15,129,73,BRC0062T,Nome não encontrado
Umidade,g,"73,9","25,9","12,6",103,"59,1",BRC0062T,Nome não encontrado
Carboidrato total,g,"17,8","6,24","3,03","25,0","14,3",BRC0062T,Nome não encontrado
Carboidrato disponível,g,"10,9","3,81","1,85","15,2","8,71",BRC0062T,Nome não encontrado
Proteína,g,"5,15","1,80","0,88","7,21","4,12",BRC0062T,Nome não encontrado
Lipídios,g,"1,57","0,55","0,27","2,20","1,26",BRC0062T,Nome não encontrado
Fibra alimentar,g,"6,95","2,43","1,18","9,73","5,56",BRC0062T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0062T,Nome não encontrado
Cinzas,g,"1,52","0,53","0,26","2,13","1,22",BRC0062T,Nome não encontrado
Colesterol,mg,,,,,,BRC0062T,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,04","0,02","0,14","0,08",BRC0062T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,04","0,02","0,14","0,08",BRC0062T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,11","0,05","0,42","0,24",BRC0062T,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0062T,Nome não encontrado
Cálcio,mg,"35,3","12,4","6,00","49,4","28,2",BRC0062T,Nome não encontrado
Ferro,mg,"1,71","0,60","0,29","2,40","1,37",BRC0062T,Nome não encontrado
Sódio,mg,"2,34","0,82","0,40","3,27","1,87",BRC0062T,Nome não encontrado
Magnésio,mg,"56,2","19,7","9,55","78,7","45,0",BRC0062T,Nome não encontrado
Fósforo,mg,115,"40,3","19,6",161,"92,2",BRC0062T,Nome não encontrado
Potássio,mg,337,118,"57,5",473,270,BRC0062T,Nome não encontrado
Manganês,mg,"0,38","0,13","0,06","0,53","0,30",BRC0062T,Nome não encontrado
Zinco,mg,"0,93","0,33","0,16","1,30","0,74",BRC0062T,Nome não encontrado
Cobre,mg,"0,25","0,09","0,04","0,35","0,20",BRC0062T,Nome não encontrado
Selênio,mcg,,,,,,BRC0062T,Nome não encontrado
Vitamina A (RE),mcg,,,,,,BRC0062T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0062T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0062T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,,BRC0062T,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,07","0,04",BRC0062T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0062T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0062T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0062T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0062T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0062T,Nome não encontrado
Equivalente de folato,mcg,"45,5","15,9","7,74","63,7","36,4",BRC0062T,Nome não encontrado
Sal de adição,g,,,,,,BRC0062T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0062T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0062T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0062T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0062T,Nome não encontrado
