componente,unidade,Valor por 100g,Colher servir cheia (100 g),Colher sopa cheia (50 g),Escumadeira cheia (170 g),Porção Média (190 g),codigo_alimento,nome_alimento
Energia,kJ,553,553,276,940,1051,BRC0111A,Nome não encontrado
Energia,kcal,132,132,66,224,251,BRC0111A,Nome não encontrado
Umidade,g,"72,6","72,6","36,3",123,137,BRC0111A,Nome não encontrado
Carboidrato total,g,"13,7","13,7","6,84","23,2","26,0",BRC0111A,Nome não encontrado
Carboidrato disponível,g,"12,2","12,2","6,09","20,7","23,1",BRC0111A,Nome não encontrado
Proteína,g,"5,77","5,77","2,88","9,80","11,0",BRC0111A,Nome não encontrado
Lipídios,g,"6,39","6,39","3,19","10,9","12,1",BRC0111A,Nome não encontrado
Fibra alimentar,g,"1,50","1,50","0,75","2,55","2,85",BRC0111A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0111A,Nome não encontrado
Cinzas,g,"1,60","1,60","0,80","2,72","3,04",BRC0111A,Nome não encontrado
Colesterol,mg,"22,1","22,1","11,0","37,5","41,9",BRC0111A,Nome não encontrado
Ácidos graxos saturados,g,"3,05","3,05","1,52","5,18","5,79",BRC0111A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,28","2,28","1,14","3,88","4,34",BRC0111A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,56","0,56","0,28","0,96","1,07",BRC0111A,Nome não encontrado
Ácidos graxos trans,g,"0,25","0,25","0,13","0,43","0,48",BRC0111A,Nome não encontrado
Cálcio,mg,"82,9","82,9","41,4",140,157,BRC0111A,Nome não encontrado
Ferro,mg,"0,67","0,67","0,33","1,14","1,27",BRC0111A,Nome não encontrado
Sódio,mg,351,351,175,597,667,BRC0111A,Nome não encontrado
Magnésio,mg,"18,8","18,8","9,42","32,0","35,8",BRC0111A,Nome não encontrado
Fósforo,mg,108,108,"54,1",184,205,BRC0111A,Nome não encontrado
Potássio,mg,184,184,"92,3",313,350,BRC0111A,Nome não encontrado
Manganês,mg,,,traços,,,BRC0111A,Nome não encontrado
Zinco,mg,"0,82","0,82","0,41","1,39","1,56",BRC0111A,Nome não encontrado
Cobre,mg,,,traços,,,BRC0111A,Nome não encontrado
Selênio,mcg,,,traços,,,BRC0111A,Nome não encontrado
Vitamina A (RE),mcg,,,traços,,,BRC0111A,Nome não encontrado
Vitamina A (RAE),mcg,"53,2","53,2","26,6","90,5",101,BRC0111A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0111A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,36","1,36","0,68","2,32","2,59",BRC0111A,Nome não encontrado
Tiamina,mg,"0,07","0,07","0,03","0,11","0,13",BRC0111A,Nome não encontrado
Riboflavina,mg,"0,09","0,09","0,04","0,14","0,16",BRC0111A,Nome não encontrado
Niacina,mg,"1,44","1,44","0,72","2,45","2,73",BRC0111A,Nome não encontrado
Vitamina B6,mg,"0,12","0,12","0,06","0,20","0,22",BRC0111A,Nome não encontrado
Vitamina B12,mcg,"0,39","0,39","0,19","0,66","0,73",BRC0111A,Nome não encontrado
Vitamina C,mg,"2,35","2,35","1,18","4,00","4,47",BRC0111A,Nome não encontrado
Equivalente de folato,mcg,"33,9","33,9","16,9","57,6","64,4",BRC0111A,Nome não encontrado
Sal de adição,g,,,traços,,,BRC0111A,Nome não encontrado
Açúcar de adição,g,,,traços,,,BRC0111A,Nome não encontrado
Gordura de adição,g,,,traços,,,BRC0111A,Nome não encontrado
Proteína vegetal,g,,,traços,,,BRC0111A,Nome não encontrado
Proteína animal,g,,,traços,,,BRC0111A,Nome não encontrado
