componente,unidade,Valor por 100g,Colher servir cheia (62 g),Colher servir rasa (35 g),Colher sopa cheia (35 g),Colher sopa rasa (22 g),Escumadeira cheia (110 g),Escumadeira rasa (72 g),codigo_alimento,nome_alimento
Energia,kJ,376,233,131,131,82,413,270,BRC0343B,Nome não encontrado
Energia,kcal,89,55,31,31,19,97,63,BRC0343B,Nome não encontrado
Umidade,g,"75,8","47,0","26,5","26,5","16,7","83,3","54,5",BRC0343B,Nome não encontrado
Carboidrato total,g,"20,4","12,6","7,13","7,13","4,48","22,4","14,7",BRC0343B,Nome não encontrado
Carboidrato disponível,g,"18,8","11,6","6,57","6,57","4,13","20,7","13,5",BRC0343B,Nome não encontrado
Proteína,g,"2,28","1,42","0,80","0,80","0,50","2,51","1,64",BRC0343B,Nome não encontrado
Lipídios,g,"0,14","0,09","0,05","0,05","0,03","0,15","0,10",BRC0343B,Nome não encontrado
Fibra alimentar,g,"1,60","0,99","0,56","0,56","0,35","1,75","1,15",BRC0343B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0343B,Nome não encontrado
Cinzas,g,"1,44","0,89","0,50","0,50","0,32","1,58","1,04",BRC0343B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0343B,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,03","0,02","0,02","0,01","0,06","0,04",BRC0343B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0343B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,03","0,02","0,02","0,01","0,06","0,04",BRC0343B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0343B,Nome não encontrado
Cálcio,mg,"14,9","9,26","5,23","5,23","3,29","16,4","10,8",BRC0343B,Nome não encontrado
Ferro,mg,"0,03","0,02","0,01","0,01","0,01","0,03","0,02",BRC0343B,Nome não encontrado
Sódio,mg,187,116,"65,7","65,7","41,3",206,135,BRC0343B,Nome não encontrado
Magnésio,mg,"17,0","10,6","5,96","5,96","3,75","18,7","12,3",BRC0343B,Nome não encontrado
Fósforo,mg,"58,8","36,5","20,6","20,6","12,9","64,7","42,4",BRC0343B,Nome não encontrado
Potássio,mg,230,143,"80,8","80,8","50,8",253,166,BRC0343B,Nome não encontrado
Manganês,mg,"0,12","0,08","0,04","0,04","0,03","0,14","0,09",BRC0343B,Nome não encontrado
Zinco,mg,"0,36","0,22","0,13","0,13","0,08","0,39","0,26",BRC0343B,Nome não encontrado
Cobre,mg,"0,14","0,09","0,05","0,05","0,03","0,16","0,10",BRC0343B,Nome não encontrado
Selênio,mcg,"0,82","0,51","0,29","0,29","0,18","0,90","0,59",BRC0343B,Nome não encontrado
Vitamina A (RE),mcg,"4,75","2,95","1,66","1,66","1,05","5,23","3,42",BRC0343B,Nome não encontrado
Vitamina A (RAE),mcg,"2,38","1,47","0,83","0,83","0,52","2,61","1,71",BRC0343B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0343B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,68","1,04","0,59","0,59","0,37","1,84","1,21",BRC0343B,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02","0,02","0,01","0,06","0,04",BRC0343B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0343B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0343B,Nome não encontrado
Vitamina B6,mg,"0,07","0,04","0,02","0,02","0,01","0,07","0,05",BRC0343B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0343B,Nome não encontrado
Vitamina C,mg,"2,01","1,24","0,70","0,70","0,44","2,21","1,45",BRC0343B,Nome não encontrado
Equivalente de folato,mcg,"8,93","5,53","3,12","3,12","1,96","9,82","6,43",BRC0343B,Nome não encontrado
Sal de adição,g,"0,32","0,20","0,11","0,11","0,07","0,35","0,23",BRC0343B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0343B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0343B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0343B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0343B,Nome não encontrado
