componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1298,194,BRC0041T,Nome não encontrado
Energia,kcal,308,46,BRC0041T,Nome não encontrado
Umidade,g,"8,66","1,30",BRC0041T,Nome não encontrado
Carboidrato total,g,"39,3","5,89",BRC0041T,Nome não encontrado
Carboidrato disponível,g,"18,7","2,80",BRC0041T,Nome não encontrado
Proteína,g,"45,8","6,87",BRC0041T,Nome não encontrado
Lipídios,g,"1,01","0,15",BRC0041T,Nome não encontrado
Fibra alimentar,g,"20,6","3,09",BRC0041T,Nome não encontrado
Álcool,g,,,BRC0041T,Nome não encontrado
Cinzas,g,"5,25","0,79",BRC0041T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0041T,Nome não encontrado
Ácidos graxos saturados,g,"0,11","0,02",BRC0041T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,17","0,03",BRC0041T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,44","0,07",BRC0041T,Nome não encontrado
Ácidos graxos trans,g,,,BRC0041T,Nome não encontrado
Cálcio,mg,199,"29,9",BRC0041T,Nome não encontrado
Ferro,mg,"12,7","1,90",BRC0041T,Nome não encontrado
Sódio,mg,"5,58","0,84",BRC0041T,Nome não encontrado
Magnésio,mg,234,"35,2",BRC0041T,Nome não encontrado
Fósforo,mg,522,"78,4",BRC0041T,Nome não encontrado
Potássio,mg,1863,279,BRC0041T,Nome não encontrado
Manganês,mg,"2,78","0,42",BRC0041T,Nome não encontrado
Zinco,mg,"4,40","0,66",BRC0041T,Nome não encontrado
Cobre,mg,"1,25","0,19",BRC0041T,Nome não encontrado
Selênio,mcg,,,BRC0041T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0041T,Nome não encontrado
Vitamina A (RAE),mcg,"1,66","0,25",BRC0041T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0041T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,01",BRC0041T,Nome não encontrado
Tiamina,mg,"0,19","0,03",BRC0041T,Nome não encontrado
Riboflavina,mg,"0,04","0,01",BRC0041T,Nome não encontrado
Niacina,mg,traços,traços,BRC0041T,Nome não encontrado
Vitamina B6,mg,"0,03","0,00",BRC0041T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0041T,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0041T,Nome não encontrado
Equivalente de folato,mcg,300,"45,1",BRC0041T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0041T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0041T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0041T,Nome não encontrado
Proteína vegetal,g,"45,8","6,87",BRC0041T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0041T,Nome não encontrado
