componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Dose/ Taça (100 mL),codigo_alimento,nome_alimento
Energia,kJ,361,865,595,360,BRC0040H,Nome não encontrado
Energia,kcal,87,208,143,86,BRC0040H,Nome não encontrado
Umidade,g,"86,4",207,142,"86,4",BRC0040H,Nome não encontrado
Carboidrato total,g,"2,29","5,50","3,78","2,29",BRC0040H,Nome não encontrado
Carboidrato disponível,g,"2,29","5,50","3,78","2,29",BRC0040H,Nome não encontrado
Proteína,g,"0,07","0,17","0,12","0,07",BRC0040H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Álcool,g,"11,1","26,5","18,2","11,1",BRC0040H,Nome não encontrado
Cinzas,g,"0,20","0,48","0,33","0,20",BRC0040H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Cálcio,mg,"6,32","15,2","10,4","6,32",BRC0040H,Nome não encontrado
Ferro,mg,"0,15","0,36","0,25","0,15",BRC0040H,Nome não encontrado
Sódio,mg,"0,25","0,59","0,40","0,25",BRC0040H,Nome não encontrado
Magnésio,mg,"9,38","22,5","15,5","9,38",BRC0040H,Nome não encontrado
Fósforo,mg,"5,24","12,6","8,65","5,24",BRC0040H,Nome não encontrado
Potássio,mg,100,242,166,100,BRC0040H,Nome não encontrado
Manganês,mg,"0,27","0,64","0,44","0,27",BRC0040H,Nome não encontrado
Zinco,mg,"0,07","0,16","0,11","0,07",BRC0040H,Nome não encontrado
Cobre,mg,"0,05","0,12","0,08","0,05",BRC0040H,Nome não encontrado
Selênio,mcg,,,,,BRC0040H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,01","0,01",BRC0040H,Nome não encontrado
Riboflavina,mg,"0,02","0,06","0,04","0,02",BRC0040H,Nome não encontrado
Niacina,mg,"0,17","0,40","0,28","0,17",BRC0040H,Nome não encontrado
Vitamina B6,mg,"0,06","0,13","0,09","0,06",BRC0040H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Equivalente de folato,mcg,,,,,BRC0040H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0040H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
Proteína vegetal,g,"0,07","0,17","0,12","0,07",BRC0040H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0040H,Nome não encontrado
