componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,304,60,395,BRC0960F,Nome não encontrado
Energia,kcal,72,14,93,BRC0960F,Nome não encontrado
Umidade,g,"83,7","16,7",108,BRC0960F,Nome não encontrado
Carboidrato total,g,"6,17","1,23","8,02",BRC0960F,Nome não encontrado
Carboidrato disponível,g,"5,13","1,03","6,67",BRC0960F,Nome não encontrado
Proteína,g,"7,42","1,48","9,65",BRC0960F,Nome não encontrado
Lipídios,g,"2,23","0,45","2,90",BRC0960F,Nome não encontrado
Fibra alimentar,g,"1,04","0,21","1,35",BRC0960F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0960F,Nome não encontrado
Cinzas,g,"0,51","0,10","0,67",BRC0960F,Nome não encontrado
Colesterol,mg,"11,9","2,38","15,5",BRC0960F,Nome não encontrado
Ácidos graxos saturados,g,"0,75","0,15","0,97",BRC0960F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,76","0,15","0,99",BRC0960F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,51","0,10","0,67",BRC0960F,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,01","0,06",BRC0960F,Nome não encontrado
Cálcio,mg,"14,7","2,94","19,1",BRC0960F,Nome não encontrado
Ferro,mg,"0,74","0,15","0,97",BRC0960F,Nome não encontrado
Sódio,mg,"25,7","5,15","33,5",BRC0960F,Nome não encontrado
Magnésio,mg,"11,5","2,30","15,0",BRC0960F,Nome não encontrado
Fósforo,mg,"54,8","11,0","71,3",BRC0960F,Nome não encontrado
Potássio,mg,176,"35,3",229,BRC0960F,Nome não encontrado
Manganês,mg,"1,47","0,29","1,91",BRC0960F,Nome não encontrado
Zinco,mg,"1,49","0,30","1,94",BRC0960F,Nome não encontrado
Cobre,mg,"0,06","0,01","0,07",BRC0960F,Nome não encontrado
Selênio,mcg,"0,31","0,06","0,41",BRC0960F,Nome não encontrado
Vitamina A (RE),mcg,118,"23,7",153,BRC0960F,Nome não encontrado
Vitamina A (RAE),mcg,"59,6","11,9","77,5",BRC0960F,Nome não encontrado
Vitamina D,mcg,"0,06","0,01","0,08",BRC0960F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,86","0,17","1,11",BRC0960F,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04",BRC0960F,Nome não encontrado
Riboflavina,mg,"0,02","0,00","0,02",BRC0960F,Nome não encontrado
Niacina,mg,"0,84","0,17","1,09",BRC0960F,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0960F,Nome não encontrado
Vitamina B12,mcg,"0,28","0,06","0,36",BRC0960F,Nome não encontrado
Vitamina C,mg,"1,59","0,32","2,07",BRC0960F,Nome não encontrado
Equivalente de folato,mcg,"22,5","4,49","29,2",BRC0960F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0960F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0960F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0960F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0960F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0960F,Nome não encontrado
