componente,unidade,Valor por 100g,Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,679,135,BRC0186T,Nome não encontrado
Energia,kcal,162,32,BRC0186T,Nome não encontrado
Umidade,g,"52,0","10,4",BRC0186T,Nome não encontrado
Carboidrato total,g,"16,0","3,20",BRC0186T,Nome não encontrado
Carboidrato disponível,g,"10,9","2,17",BRC0186T,Nome não encontrado
Proteína,g,"12,5","2,50",BRC0186T,Nome não encontrado
Lipídios,g,"6,50","1,30",BRC0186T,Nome não encontrado
Fibra alimentar,g,"5,14","1,03",BRC0186T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0186T,Nome não encontrado
Cinzas,g,"13,0","2,60",BRC0186T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0186T,Nome não encontrado
Ácidos graxos saturados,g,"1,11","0,22",BRC0186T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,21","0,24",BRC0186T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,12","0,62",BRC0186T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0186T,Nome não encontrado
Cálcio,mg,"48,0","9,60",BRC0186T,Nome não encontrado
Ferro,mg,"2,10","0,42",BRC0186T,Nome não encontrado
Sódio,mg,3140,628,BRC0186T,Nome não encontrado
Magnésio,mg,"40,4","8,09",BRC0186T,Nome não encontrado
Fósforo,mg,133,"26,8",BRC0186T,Nome não encontrado
Potássio,mg,176,"35,4",BRC0186T,Nome não encontrado
Manganês,mg,,,BRC0186T,Nome não encontrado
Zinco,mg,"2,16","0,43",BRC0186T,Nome não encontrado
Cobre,mg,,,BRC0186T,Nome não encontrado
Selênio,mcg,,,BRC0186T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0186T,Nome não encontrado
Vitamina A (RAE),mcg,"4,33","0,87",BRC0186T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0186T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,00",BRC0186T,Nome não encontrado
Tiamina,mg,"0,08","0,02",BRC0186T,Nome não encontrado
Riboflavina,mg,"0,20","0,04",BRC0186T,Nome não encontrado
Niacina,mg,"0,76","0,15",BRC0186T,Nome não encontrado
Vitamina B6,mg,"0,17","0,03",BRC0186T,Nome não encontrado
Vitamina B12,mcg,"0,07","0,01",BRC0186T,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0186T,Nome não encontrado
Equivalente de folato,mcg,"16,0","3,20",BRC0186T,Nome não encontrado
Sal de adição,g,,,BRC0186T,Nome não encontrado
Açúcar de adição,g,,,BRC0186T,Nome não encontrado
Gordura de adição,g,,,BRC0186T,Nome não encontrado
Proteína vegetal,g,"12,5","2,50",BRC0186T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0186T,Nome não encontrado
