componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,477,286,214,BRC0253E,Nome não encontrado
Energia,kcal,114,68,51,BRC0253E,Nome não encontrado
Umidade,g,"77,2","46,3","34,7",BRC0253E,Nome não encontrado
Carboidrato total,g,"2,84","1,71","1,28",BRC0253E,Nome não encontrado
Carboidrato disponível,g,"1,48","0,89","0,67",BRC0253E,Nome não encontrado
Proteína,g,"13,1","7,86","5,89",BRC0253E,Nome não encontrado
Lipídios,g,"4,93","2,96","2,22",BRC0253E,Nome não encontrado
Fibra alimentar,g,"1,37","0,82","0,62",BRC0253E,Nome não encontrado
Álcool,g,"0,01","0,01","0,00",BRC0253E,Nome não encontrado
Cinzas,g,"1,66","1,00","0,75",BRC0253E,Nome não encontrado
Colesterol,mg,168,101,"75,9",BRC0253E,Nome não encontrado
Ácidos graxos saturados,g,"1,73","1,04","0,78",BRC0253E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,57","0,94","0,71",BRC0253E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,24","0,74","0,56",BRC0253E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0253E,Nome não encontrado
Cálcio,mg,"66,3","39,8","29,9",BRC0253E,Nome não encontrado
Ferro,mg,"2,22","1,33","1,00",BRC0253E,Nome não encontrado
Sódio,mg,371,222,167,BRC0253E,Nome não encontrado
Magnésio,mg,"16,0","9,59","7,19",BRC0253E,Nome não encontrado
Fósforo,mg,195,117,"88,1",BRC0253E,Nome não encontrado
Potássio,mg,117,"70,3","52,8",BRC0253E,Nome não encontrado
Manganês,mg,"0,08","0,05","0,03",BRC0253E,Nome não encontrado
Zinco,mg,"0,86","0,51","0,39",BRC0253E,Nome não encontrado
Cobre,mg,"0,29","0,18","0,13",BRC0253E,Nome não encontrado
Selênio,mcg,"0,19","0,12","0,09",BRC0253E,Nome não encontrado
Vitamina A (RE),mcg,348,208,156,BRC0253E,Nome não encontrado
Vitamina A (RAE),mcg,197,118,"88,9",BRC0253E,Nome não encontrado
Vitamina D,mcg,"0,05","0,03","0,02",BRC0253E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,43","0,86","0,65",BRC0253E,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0253E,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0253E,Nome não encontrado
Niacina,mg,"0,25","0,15","0,11",BRC0253E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01",BRC0253E,Nome não encontrado
Vitamina B12,mcg,"1,13","0,68","0,51",BRC0253E,Nome não encontrado
Vitamina C,mg,"8,95","5,37","4,03",BRC0253E,Nome não encontrado
Equivalente de folato,mcg,"20,3","12,2","9,12",BRC0253E,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,21",BRC0253E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0253E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0253E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0253E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0253E,Nome não encontrado
