componente,unidade,Valor por 100g,Concha cheia (200 g),Concha rasa (130 g),codigo_alimento,nome_alimento
Energia,kJ,293,585,380,BRC0883F,Nome não encontrado
Energia,kcal,70,139,90,BRC0883F,Nome não encontrado
Umidade,g,"84,9",169,110,BRC0883F,Nome não encontrado
Carboidrato total,g,"4,82","9,64","6,27",BRC0883F,Nome não encontrado
Carboidrato disponível,g,"3,74","7,48","4,86",BRC0883F,Nome não encontrado
Proteína,g,"7,21","14,4","9,37",BRC0883F,Nome não encontrado
Lipídios,g,"2,64","5,29","3,44",BRC0883F,Nome não encontrado
Fibra alimentar,g,"1,08","2,16","1,41",BRC0883F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0883F,Nome não encontrado
Cinzas,g,"0,40","0,80","0,52",BRC0883F,Nome não encontrado
Colesterol,mg,"73,6",147,"95,7",BRC0883F,Nome não encontrado
Ácidos graxos saturados,g,"0,91","1,83","1,19",BRC0883F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,70","1,40","0,91",BRC0883F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,79","1,57","1,02",BRC0883F,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,10","0,06",BRC0883F,Nome não encontrado
Cálcio,mg,"13,2","26,4","17,2",BRC0883F,Nome não encontrado
Ferro,mg,"0,38","0,77","0,50",BRC0883F,Nome não encontrado
Sódio,mg,"27,9","55,8","36,3",BRC0883F,Nome não encontrado
Magnésio,mg,"7,58","15,2","9,86",BRC0883F,Nome não encontrado
Fósforo,mg,"35,0","69,9","45,4",BRC0883F,Nome não encontrado
Potássio,mg,160,321,209,BRC0883F,Nome não encontrado
Manganês,mg,"0,07","0,14","0,09",BRC0883F,Nome não encontrado
Zinco,mg,"0,87","1,74","1,13",BRC0883F,Nome não encontrado
Cobre,mg,"0,05","0,10","0,06",BRC0883F,Nome não encontrado
Selênio,mcg,"12,2","24,5","15,9",BRC0883F,Nome não encontrado
Vitamina A (RE),mcg,143,286,185,BRC0883F,Nome não encontrado
Vitamina A (RAE),mcg,"73,0",145,"94,9",BRC0883F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0883F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,53","1,06","0,69",BRC0883F,Nome não encontrado
Tiamina,mg,"0,03","0,06","0,04",BRC0883F,Nome não encontrado
Riboflavina,mg,traços,,traços,BRC0883F,Nome não encontrado
Niacina,mg,"1,05","2,10","1,37",BRC0883F,Nome não encontrado
Vitamina B6,mg,"0,05","0,10","0,06",BRC0883F,Nome não encontrado
Vitamina B12,mcg,"0,14","0,29","0,19",BRC0883F,Nome não encontrado
Vitamina C,mg,"11,1","22,3","14,5",BRC0883F,Nome não encontrado
Equivalente de folato,mcg,"7,56","15,1","9,82",BRC0883F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0883F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0883F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0883F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0883F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0883F,Nome não encontrado
