componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,334,BRC0259C,Nome não encontrado
Energia,kcal,79,BRC0259C,Nome não encontrado
Umidade,g,"79,0",BRC0259C,Nome não encontrado
Carboidrato total,g,"18,7",BRC0259C,Nome não encontrado
Carboidrato disponível,g,"17,6",BRC0259C,Nome não encontrado
Proteína,g,"0,82",BRC0259C,Nome não encontrado
Lipídios,g,"0,33",BRC0259C,Nome não encontrado
Fibra alimentar,g,"1,10",BRC0259C,Nome não encontrado
Álcool,g,"0,00",BRC0259C,Nome não encontrado
Cinzas,g,"1,14",BRC0259C,Nome não encontrado
Colesterol,mg,"0,00",BRC0259C,Nome não encontrado
Ácidos graxos saturados,g,,BRC0259C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,BRC0259C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,BRC0259C,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC0259C,Nome não encontrado
Cálcio,mg,"30,2",BRC0259C,Nome não encontrado
Ferro,mg,"1,14",BRC0259C,Nome não encontrado
Sódio,mg,"5,50",BRC0259C,Nome não encontrado
Magnésio,mg,"21,2",BRC0259C,Nome não encontrado
Fósforo,mg,"40,0",BRC0259C,Nome não encontrado
Potássio,mg,348,BRC0259C,Nome não encontrado
Manganês,mg,"0,28",BRC0259C,Nome não encontrado
Zinco,mg,"0,88",BRC0259C,Nome não encontrado
Cobre,mg,"0,34",BRC0259C,Nome não encontrado
Selênio,mcg,"3,14",BRC0259C,Nome não encontrado
Vitamina A (RE),mcg,"0,50",BRC0259C,Nome não encontrado
Vitamina A (RAE),mcg,"0,50",BRC0259C,Nome não encontrado
Vitamina D,mcg,,BRC0259C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,BRC0259C,Nome não encontrado
Tiamina,mg,"0,12",BRC0259C,Nome não encontrado
Riboflavina,mg,"0,01",BRC0259C,Nome não encontrado
Niacina,mg,"0,51",BRC0259C,Nome não encontrado
Vitamina B6,mg,"0,01",BRC0259C,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0259C,Nome não encontrado
Vitamina C,mg,"9,08",BRC0259C,Nome não encontrado
Equivalente de folato,mcg,"21,0",BRC0259C,Nome não encontrado
Sal de adição,g,"0,00",BRC0259C,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0259C,Nome não encontrado
Gordura de adição,g,"0,00",BRC0259C,Nome não encontrado
Proteína vegetal,g,"0,82",BRC0259C,Nome não encontrado
Proteína animal,g,"0,00",BRC0259C,Nome não encontrado
