componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,214,171,96,BRC0127B,Nome não encontrado
Energia,kcal,51,40,22,BRC0127B,Nome não encontrado
Umidade,g,"86,4","69,1","38,9",BRC0127B,Nome não encontrado
Carboidrato total,g,"10,6","8,46","4,76",BRC0127B,Nome não encontrado
Carboidrato disponível,g,"8,87","7,10","3,99",BRC0127B,Nome não encontrado
Proteína,g,"0,96","0,77","0,43",BRC0127B,Nome não encontrado
Lipídios,g,"0,91","0,73","0,41",BRC0127B,Nome não encontrado
Fibra alimentar,g,"1,70","1,36","0,77",BRC0127B,Nome não encontrado
Álcool,g,,,,BRC0127B,Nome não encontrado
Cinzas,g,"1,16","0,93","0,52",BRC0127B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0127B,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,15","0,09",BRC0127B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,07","0,05","0,03",BRC0127B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,40","0,32","0,18",BRC0127B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0127B,Nome não encontrado
Cálcio,mg,"34,3","27,5","15,4",BRC0127B,Nome não encontrado
Ferro,mg,"0,75","0,60","0,34",BRC0127B,Nome não encontrado
Sódio,mg,315,252,142,BRC0127B,Nome não encontrado
Magnésio,mg,"34,3","27,5","15,4",BRC0127B,Nome não encontrado
Fósforo,mg,"35,7","28,5","16,0",BRC0127B,Nome não encontrado
Potássio,mg,347,277,156,BRC0127B,Nome não encontrado
Manganês,mg,,,,BRC0127B,Nome não encontrado
Zinco,mg,"0,15","0,12","0,07",BRC0127B,Nome não encontrado
Cobre,mg,,,,BRC0127B,Nome não encontrado
Selênio,mcg,,,,BRC0127B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0127B,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0127B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0127B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0127B,Nome não encontrado
Tiamina,mg,"0,13","0,11","0,06",BRC0127B,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,00",BRC0127B,Nome não encontrado
Niacina,mg,"0,70","0,56","0,32",BRC0127B,Nome não encontrado
Vitamina B6,mg,"0,15","0,12","0,07",BRC0127B,Nome não encontrado
Vitamina B12,mcg,"14,5","11,6","6,54",BRC0127B,Nome não encontrado
Vitamina C,mg,"7,26","5,81","3,27",BRC0127B,Nome não encontrado
Equivalente de folato,mcg,"14,5","11,6","6,54",BRC0127B,Nome não encontrado
Sal de adição,g,,,,BRC0127B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0127B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0127B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0127B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0127B,Nome não encontrado
