componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,491,245,122,540,442,BRC1038A,Nome não encontrado
Energia,kcal,116,58,29,128,104,BRC1038A,Nome não encontrado
Umidade,g,"70,7","35,3","17,7","77,8","63,6",BRC1038A,Nome não encontrado
Carboidrato total,g,"23,1","11,6","5,78","25,4","20,8",BRC1038A,Nome não encontrado
Carboidrato disponível,g,"20,2","10,1","5,06","22,3","18,2",BRC1038A,Nome não encontrado
Proteína,g,"3,75","1,87","0,94","4,12","3,37",BRC1038A,Nome não encontrado
Lipídios,g,"1,63","0,82","0,41","1,79","1,47",BRC1038A,Nome não encontrado
Fibra alimentar,g,"2,86","1,43","0,72","3,15","2,58",BRC1038A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1038A,Nome não encontrado
Cinzas,g,"0,82","0,41","0,21","0,91","0,74",BRC1038A,Nome não encontrado
Colesterol,mg,"2,15","1,08","0,54","2,37","1,94",BRC1038A,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,15","0,08","0,33","0,27",BRC1038A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,36","0,18","0,09","0,39","0,32",BRC1038A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,88","0,44","0,22","0,97","0,79",BRC1038A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,01","0,03","0,02",BRC1038A,Nome não encontrado
Cálcio,mg,"12,4","6,20","3,10","13,6","11,2",BRC1038A,Nome não encontrado
Ferro,mg,"0,55","0,28","0,14","0,61","0,50",BRC1038A,Nome não encontrado
Sódio,mg,189,"94,8","47,4",208,170,BRC1038A,Nome não encontrado
Magnésio,mg,"10,8","5,42","2,71","11,9","9,76",BRC1038A,Nome não encontrado
Fósforo,mg,"50,8","25,4","12,7","55,8","45,7",BRC1038A,Nome não encontrado
Potássio,mg,"98,6","49,3","24,7",108,"88,7",BRC1038A,Nome não encontrado
Manganês,mg,"0,21","0,11","0,05","0,24","0,19",BRC1038A,Nome não encontrado
Zinco,mg,"0,71","0,36","0,18","0,78","0,64",BRC1038A,Nome não encontrado
Cobre,mg,"0,18","0,09","0,04","0,20","0,16",BRC1038A,Nome não encontrado
Selênio,mcg,"1,96","0,98","0,49","2,15","1,76",BRC1038A,Nome não encontrado
Vitamina A (RE),mcg,,traços,,,,BRC1038A,Nome não encontrado
Vitamina A (RAE),mcg,,traços,,,,BRC1038A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC1038A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,09","0,04","0,19","0,16",BRC1038A,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,05","0,04",BRC1038A,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01","0,01",BRC1038A,Nome não encontrado
Niacina,mg,"0,88","0,44","0,22","0,96","0,79",BRC1038A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02","0,02",BRC1038A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC1038A,Nome não encontrado
Vitamina C,mg,"0,41","0,20","0,10","0,45","0,37",BRC1038A,Nome não encontrado
Equivalente de folato,mcg,"68,9","34,5","17,2","75,8","62,0",BRC1038A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,12","0,52","0,42",BRC1038A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1038A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1038A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1038A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1038A,Nome não encontrado
