componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,1109,554,1220,998,2218,BRC0905A,Nome não encontrado
Energia,kcal,267,133,293,240,533,BRC0905A,Nome não encontrado
Umidade,g,"54,1","27,0","59,5","48,7",108,BRC0905A,Nome não encontrado
Carboidrato total,g,"12,4","6,22","13,7","11,2","24,9",BRC0905A,Nome não encontrado
Carboidrato disponível,g,"10,6","5,30","11,6","9,53","21,2",BRC0905A,Nome não encontrado
Proteína,g,"13,4","6,72","14,8","12,1","26,9",BRC0905A,Nome não encontrado
Lipídios,g,"18,5","9,27","20,4","16,7","37,1",BRC0905A,Nome não encontrado
Fibra alimentar,g,"1,85","0,93","2,04","1,67","3,70",BRC0905A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0905A,Nome não encontrado
Cinzas,g,"1,49","0,74","1,64","1,34","2,98",BRC0905A,Nome não encontrado
Colesterol,mg,189,"94,9",208,170,379,BRC0905A,Nome não encontrado
Ácidos graxos saturados,g,"6,79","3,39","7,47","6,11","13,6",BRC0905A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,88","3,44","7,56","6,19","13,8",BRC0905A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,02","1,51","3,32","2,72","6,04",BRC0905A,Nome não encontrado
Ácidos graxos trans,g,"0,24","0,12","0,26","0,21","0,48",BRC0905A,Nome não encontrado
Cálcio,mg,134,"67,4",148,121,269,BRC0905A,Nome não encontrado
Ferro,mg,"0,96","0,48","1,06","0,87","1,93",BRC0905A,Nome não encontrado
Sódio,mg,364,182,401,328,729,BRC0905A,Nome não encontrado
Magnésio,mg,"13,7","6,83","15,0","12,3","27,3",BRC0905A,Nome não encontrado
Fósforo,mg,179,"89,6",197,161,358,BRC0905A,Nome não encontrado
Potássio,mg,"90,9","45,4","99,9","81,8",181,BRC0905A,Nome não encontrado
Manganês,mg,"0,16","0,08","0,18","0,15","0,33",BRC0905A,Nome não encontrado
Zinco,mg,"1,22","0,61","1,34","1,10","2,44",BRC0905A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,08","0,07","0,15",BRC0905A,Nome não encontrado
Selênio,mcg,"9,29","4,65","10,2","8,36","18,6",BRC0905A,Nome não encontrado
Vitamina A (RE),mcg,"64,6","32,3","71,1","58,2",129,BRC0905A,Nome não encontrado
Vitamina A (RAE),mcg,"63,6","31,8","69,9","57,2",127,BRC0905A,Nome não encontrado
Vitamina D,mcg,"0,88","0,44","0,97","0,79","1,76",BRC0905A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,26","0,63","1,38","1,13","2,51",BRC0905A,Nome não encontrado
Tiamina,mg,"0,07","0,03","0,07","0,06","0,13",BRC0905A,Nome não encontrado
Riboflavina,mg,"0,14","0,07","0,16","0,13","0,28",BRC0905A,Nome não encontrado
Niacina,mg,"1,69","0,85","1,86","1,52","3,38",BRC0905A,Nome não encontrado
Vitamina B6,mg,"0,05","0,03","0,06","0,05","0,11",BRC0905A,Nome não encontrado
Vitamina B12,mcg,"0,69","0,35","0,76","0,62","1,38",BRC0905A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0905A,Nome não encontrado
Equivalente de folato,mcg,"26,4","13,2","29,0","23,7","52,7",BRC0905A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94",BRC0905A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0905A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0905A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0905A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0905A,Nome não encontrado
