componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,86,21,BRC0209B,Nome não encontrado
Energia,kcal,21,5,BRC0209B,Nome não encontrado
Umidade,g,"92,4","23,1",BRC0209B,Nome não encontrado
Carboidrato total,g,"4,24","1,06",BRC0209B,Nome não encontrado
Carboidrato disponível,g,"1,11","0,28",BRC0209B,Nome não encontrado
Proteína,g,"1,84","0,46",BRC0209B,Nome não encontrado
Lipídios,g,"0,30","0,08",BRC0209B,Nome não encontrado
Fibra alimentar,g,"3,13","0,78",BRC0209B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0209B,Nome não encontrado
Cinzas,g,"1,20","0,30",BRC0209B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0209B,Nome não encontrado
Ácidos graxos saturados,g,"0,07","0,02",BRC0209B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00",BRC0209B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,13","0,03",BRC0209B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0209B,Nome não encontrado
Cálcio,mg,"29,8","7,45",BRC0209B,Nome não encontrado
Ferro,mg,"0,67","0,17",BRC0209B,Nome não encontrado
Sódio,mg,"2,13","0,53",BRC0209B,Nome não encontrado
Magnésio,mg,"10,3","2,58",BRC0209B,Nome não encontrado
Fósforo,mg,"43,2","10,8",BRC0209B,Nome não encontrado
Potássio,mg,223,"55,8",BRC0209B,Nome não encontrado
Manganês,mg,"0,19","0,05",BRC0209B,Nome não encontrado
Zinco,mg,"0,26","0,07",BRC0209B,Nome não encontrado
Cobre,mg,"0,11","0,03",BRC0209B,Nome não encontrado
Selênio,mcg,"1,21","0,30",BRC0209B,Nome não encontrado
Vitamina A (RE),mcg,535,133,BRC0209B,Nome não encontrado
Vitamina A (RAE),mcg,267,"66,9",BRC0209B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0209B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,25","0,56",BRC0209B,Nome não encontrado
Tiamina,mg,"0,09","0,02",BRC0209B,Nome não encontrado
Riboflavina,mg,"0,14","0,03",BRC0209B,Nome não encontrado
Niacina,mg,"0,49","0,12",BRC0209B,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0209B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0209B,Nome não encontrado
Vitamina C,mg,"0,82","0,20",BRC0209B,Nome não encontrado
Equivalente de folato,mcg,"56,7","14,2",BRC0209B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0209B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0209B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0209B,Nome não encontrado
Proteína vegetal,g,"1,84","0,46",BRC0209B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0209B,Nome não encontrado
