componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,466,279,209,466,BRC0412E,Nome não encontrado
Energia,kcal,111,66,49,110,BRC0412E,Nome não encontrado
Umidade,g,"74,3","44,6","33,5","74,3",BRC0412E,Nome não encontrado
Carboidrato total,g,"3,97","2,38","1,79","3,97",BRC0412E,Nome não encontrado
Carboidrato disponível,g,"3,92","2,35","1,76","3,92",BRC0412E,Nome não encontrado
Proteína,g,"16,0","9,60","7,20","16,0",BRC0412E,Nome não encontrado
Lipídios,g,"3,43","2,06","1,54","3,43",BRC0412E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0412E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0412E,Nome não encontrado
Cinzas,g,"2,26","1,35","1,02","2,26",BRC0412E,Nome não encontrado
Colesterol,mg,"84,3","50,6","37,9","84,3",BRC0412E,Nome não encontrado
Ácidos graxos saturados,g,"1,31","0,79","0,59","1,31",BRC0412E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,76","0,46","0,34","0,76",BRC0412E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,96","0,57","0,43","0,96",BRC0412E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0412E,Nome não encontrado
Cálcio,mg,352,211,158,352,BRC0412E,Nome não encontrado
Ferro,mg,"0,64","0,38","0,29","0,64",BRC0412E,Nome não encontrado
Sódio,mg,173,103,"78,0",173,BRC0412E,Nome não encontrado
Magnésio,mg,"36,0","21,6","16,2","36,0",BRC0412E,Nome não encontrado
Fósforo,mg,341,205,153,341,BRC0412E,Nome não encontrado
Potássio,mg,334,200,150,334,BRC0412E,Nome não encontrado
Manganês,mg,"0,07","0,04","0,03","0,07",BRC0412E,Nome não encontrado
Zinco,mg,"0,66","0,40","0,30","0,66",BRC0412E,Nome não encontrado
Cobre,mg,"0,11","0,06","0,05","0,11",BRC0412E,Nome não encontrado
Selênio,mcg,"31,9","19,2","14,4","31,9",BRC0412E,Nome não encontrado
Vitamina A (RE),mcg,"0,48","0,29","0,22","0,48",BRC0412E,Nome não encontrado
Vitamina A (RAE),mcg,"0,24","0,14","0,11","0,24",BRC0412E,Nome não encontrado
Vitamina D,mcg,"1,06","0,64","0,48","1,06",BRC0412E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,53","0,32","0,24","0,53",BRC0412E,Nome não encontrado
Tiamina,mg,"0,08","0,05","0,04","0,08",BRC0412E,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,03","0,07",BRC0412E,Nome não encontrado
Niacina,mg,"6,49","3,89","2,92","6,49",BRC0412E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0412E,Nome não encontrado
Vitamina B12,mcg,"2,07","1,24","0,93","2,07",BRC0412E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0412E,Nome não encontrado
Equivalente de folato,mcg,"15,6","9,37","7,03","15,6",BRC0412E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0412E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0412E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0412E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0412E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0412E,Nome não encontrado
