componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (20 g),Porção Média (60 g),codigo_alimento,nome_alimento
Energia,kJ,323,64,193,BRC0074C,Nome não encontrado
Energia,kcal,76,15,45,BRC0074C,Nome não encontrado
Umidade,g,"78,7","15,7","47,2",BRC0074C,Nome não encontrado
Carboidrato total,g,"18,9","3,77","11,3",BRC0074C,Nome não encontrado
Carboidrato disponível,g,"15,0","2,99","8,97",BRC0074C,Nome não encontrado
Proteína,g,"1,40","0,28","0,84",BRC0074C,Nome não encontrado
Lipídios,g,"0,36","0,07","0,22",BRC0074C,Nome não encontrado
Fibra alimentar,g,"3,90","0,78","2,34",BRC0074C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0074C,Nome não encontrado
Cinzas,g,"0,70","0,14","0,42",BRC0074C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0074C,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,04","0,12",BRC0074C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0074C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,02","0,06",BRC0074C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0074C,Nome não encontrado
Cálcio,mg,"27,4","5,48","16,4",BRC0074C,Nome não encontrado
Ferro,mg,"0,36","0,07","0,21",BRC0074C,Nome não encontrado
Sódio,mg,"1,68","0,34","1,01",BRC0074C,Nome não encontrado
Magnésio,mg,"18,0","3,59","10,8",BRC0074C,Nome não encontrado
Fósforo,mg,"48,6","9,72","29,2",BRC0074C,Nome não encontrado
Potássio,mg,248,"49,6",148,BRC0074C,Nome não encontrado
Manganês,mg,"0,06","0,01","0,03",BRC0074C,Nome não encontrado
Zinco,mg,"0,53","0,11","0,32",BRC0074C,Nome não encontrado
Cobre,mg,"0,12","0,02","0,07",BRC0074C,Nome não encontrado
Selênio,mcg,,,,BRC0074C,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0074C,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0074C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0074C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0074C,Nome não encontrado
Tiamina,mg,"0,14","0,03","0,09",BRC0074C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0074C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0074C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0074C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0074C,Nome não encontrado
Vitamina C,mg,"27,0","5,41","16,2",BRC0074C,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0074C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0074C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0074C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0074C,Nome não encontrado
Proteína vegetal,g,"1,40","0,28","0,84",BRC0074C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0074C,Nome não encontrado
