componente,unidade,Valor por 100g,Colher servir cheia (62 g),Colher servir rasa (35 g),Colher sopa cheia (35 g),Colher sopa rasa (22 g),Escumadeira cheia (110 g),Escumadeira rasa (72 g),codigo_alimento,nome_alimento
Energia,kJ,541,335,189,189,119,595,389,BRC0345B,Nome não encontrado
Energia,kcal,129,80,45,45,28,141,92,BRC0345B,Nome não encontrado
Umidade,g,"72,0","44,6","25,2","25,2","15,8","79,2","51,8",BRC0345B,Nome não encontrado
Carboidrato total,g,"19,4","12,0","6,78","6,78","4,26","21,3","13,9",BRC0345B,Nome não encontrado
Carboidrato disponível,g,"17,8","11,1","6,25","6,25","3,93","19,6","12,8",BRC0345B,Nome não encontrado
Proteína,g,"2,17","1,35","0,76","0,76","0,48","2,39","1,56",BRC0345B,Nome não encontrado
Lipídios,g,"5,11","3,17","1,79","1,79","1,12","5,62","3,68",BRC0345B,Nome não encontrado
Fibra alimentar,g,"1,52","0,94","0,53","0,53","0,33","1,67","1,09",BRC0345B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0345B,Nome não encontrado
Cinzas,g,"1,39","0,86","0,49","0,49","0,31","1,53","1,00",BRC0345B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0345B,Nome não encontrado
Ácidos graxos saturados,g,"0,81","0,50","0,28","0,28","0,18","0,89","0,58",BRC0345B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,16","0,72","0,41","0,41","0,26","1,28","0,84",BRC0345B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,04","1,88","1,06","1,06","0,67","3,34","2,19",BRC0345B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0345B,Nome não encontrado
Cálcio,mg,"14,2","8,81","4,97","4,97","3,12","15,6","10,2",BRC0345B,Nome não encontrado
Ferro,mg,"0,03","0,02","0,01","0,01","0,01","0,03","0,02",BRC0345B,Nome não encontrado
Sódio,mg,187,116,"65,7","65,7","41,3",206,135,BRC0345B,Nome não encontrado
Magnésio,mg,"16,2","10,0","5,66","5,66","3,56","17,8","11,6",BRC0345B,Nome não encontrado
Fósforo,mg,"55,9","34,7","19,6","19,6","12,3","61,5","40,2",BRC0345B,Nome não encontrado
Potássio,mg,219,135,"76,7","76,7","48,2",241,157,BRC0345B,Nome não encontrado
Manganês,mg,"0,12","0,07","0,04","0,04","0,03","0,13","0,08",BRC0345B,Nome não encontrado
Zinco,mg,"0,34","0,21","0,12","0,12","0,08","0,38","0,25",BRC0345B,Nome não encontrado
Cobre,mg,"0,15","0,09","0,05","0,05","0,03","0,17","0,11",BRC0345B,Nome não encontrado
Selênio,mcg,"0,77","0,48","0,27","0,27","0,17","0,85","0,56",BRC0345B,Nome não encontrado
Vitamina A (RE),mcg,"4,51","2,80","1,58","1,58","0,99","4,96","3,25",BRC0345B,Nome não encontrado
Vitamina A (RAE),mcg,"2,26","1,40","0,79","0,79","0,50","2,48","1,62",BRC0345B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0345B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,20","1,36","0,77","0,77","0,48","2,41","1,58",BRC0345B,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02","0,02","0,01","0,05","0,03",BRC0345B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0345B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0345B,Nome não encontrado
Vitamina B6,mg,"0,06","0,04","0,02","0,02","0,01","0,07","0,05",BRC0345B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0345B,Nome não encontrado
Vitamina C,mg,"1,91","1,18","0,67","0,67","0,42","2,10","1,37",BRC0345B,Nome não encontrado
Equivalente de folato,mcg,"8,48","5,26","2,97","2,97","1,87","9,33","6,11",BRC0345B,Nome não encontrado
Sal de adição,g,"0,32","0,20","0,11","0,11","0,07","0,35","0,23",BRC0345B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0345B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0345B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0345B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0345B,Nome não encontrado
