componente,unidade,Valor por 100g,Colher sopa cheia (36 g),Colher sopa rasa (16 g),Escumadeira cheia (100 g),Escumadeira rasa (70 g),Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,159,57,25,158,111,79,BRC0225B,Nome não encontrado
Energia,kcal,38,13,6,38,26,19,BRC0225B,Nome não encontrado
Umidade,g,"91,9","33,1","14,7","91,9","64,3","45,9",BRC0225B,Nome não encontrado
Carboidrato total,g,"3,90","1,40","0,62","3,90","2,73","1,95",BRC0225B,Nome não encontrado
Carboidrato disponível,g,"1,53","0,55","0,25","1,53","1,07","0,77",BRC0225B,Nome não encontrado
Proteína,g,"1,19","0,43","0,19","1,19","0,83","0,59",BRC0225B,Nome não encontrado
Lipídios,g,"2,53","0,91","0,40","2,53","1,77","1,26",BRC0225B,Nome não encontrado
Fibra alimentar,g,"2,36","0,85","0,38","2,36","1,65","1,18",BRC0225B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0225B,Nome não encontrado
Cinzas,g,"0,49","0,18","0,08","0,49","0,34","0,25",BRC0225B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0225B,Nome não encontrado
Ácidos graxos saturados,g,"0,39","0,14","0,06","0,39","0,28","0,20",BRC0225B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,58","0,21","0,09","0,58","0,40","0,29",BRC0225B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,45","0,52","0,23","1,45","1,01","0,72",BRC0225B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0225B,Nome não encontrado
Cálcio,mg,"3,08","1,11","0,49","3,08","2,16","1,54",BRC0225B,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,traços,traços,BRC0225B,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,traços,BRC0225B,Nome não encontrado
Magnésio,mg,"1,18","0,42","0,19","1,18","0,83","0,59",BRC0225B,Nome não encontrado
Fósforo,mg,"7,58","2,73","1,21","7,58","5,31","3,79",BRC0225B,Nome não encontrado
Potássio,mg,"66,4","23,9","10,6","66,4","46,5","33,2",BRC0225B,Nome não encontrado
Manganês,mg,"0,01","0,00","0,00","0,01","0,01","0,01",BRC0225B,Nome não encontrado
Zinco,mg,"0,06","0,02","0,01","0,06","0,04","0,03",BRC0225B,Nome não encontrado
Cobre,mg,"0,06","0,02","0,01","0,06","0,04","0,03",BRC0225B,Nome não encontrado
Selênio,mcg,"1,05","0,38","0,17","1,05","0,74","0,53",BRC0225B,Nome não encontrado
Vitamina A (RE),mcg,335,120,"53,6",335,234,167,BRC0225B,Nome não encontrado
Vitamina A (RAE),mcg,167,"60,3","26,8",167,117,"83,8",BRC0225B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0225B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,76","0,63","0,28","1,76","1,23","0,88",BRC0225B,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0225B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0225B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0225B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,01","0,04","0,03","0,02",BRC0225B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0225B,Nome não encontrado
Vitamina C,mg,"6,67","2,40","1,07","6,67","4,67","3,34",BRC0225B,Nome não encontrado
Equivalente de folato,mcg,"5,47","1,97","0,88","5,47","3,83","2,74",BRC0225B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0225B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0225B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0225B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0225B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0225B,Nome não encontrado
