componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,248,49,322,BRC0131T,Nome não encontrado
Energia,kcal,59,11,76,BRC0131T,Nome não encontrado
Umidade,g,"83,3","16,7",108,BRC0131T,Nome não encontrado
Carboidrato total,g,"11,5","2,30","14,9",BRC0131T,Nome não encontrado
Carboidrato disponível,g,"6,80","1,36","8,84",BRC0131T,Nome não encontrado
Proteína,g,"3,11","0,62","4,04",BRC0131T,Nome não encontrado
Lipídios,g,"1,13","0,23","1,47",BRC0131T,Nome não encontrado
Fibra alimentar,g,"4,68","0,94","6,09",BRC0131T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0131T,Nome não encontrado
Cinzas,g,"0,98","0,20","1,27",BRC0131T,Nome não encontrado
Colesterol,mg,"0,79","0,16","1,03",BRC0131T,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,04","0,27",BRC0131T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,25","0,05","0,33",BRC0131T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,62","0,12","0,80",BRC0131T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0131T,Nome não encontrado
Cálcio,mg,"18,4","3,68","23,9",BRC0131T,Nome não encontrado
Ferro,mg,"0,83","0,17","1,08",BRC0131T,Nome não encontrado
Sódio,mg,190,"38,0",247,BRC0131T,Nome não encontrado
Magnésio,mg,"22,3","4,46","29,0",BRC0131T,Nome não encontrado
Fósforo,mg,"55,3","11,1","71,9",BRC0131T,Nome não encontrado
Potássio,mg,175,"35,1",228,BRC0131T,Nome não encontrado
Manganês,mg,"0,22","0,04","0,28",BRC0131T,Nome não encontrado
Zinco,mg,"1,05","0,21","1,37",BRC0131T,Nome não encontrado
Cobre,mg,"0,30","0,06","0,39",BRC0131T,Nome não encontrado
Selênio,mcg,"1,61","0,32","2,09",BRC0131T,Nome não encontrado
Vitamina A (RE),mcg,"49,9","9,98","64,9",BRC0131T,Nome não encontrado
Vitamina A (RAE),mcg,"25,2","5,03","32,7",BRC0131T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0131T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,04","0,24",BRC0131T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,06",BRC0131T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0131T,Nome não encontrado
Niacina,mg,"0,25","0,05","0,32",BRC0131T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0131T,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,02",BRC0131T,Nome não encontrado
Vitamina C,mg,"0,89","0,18","1,15",BRC0131T,Nome não encontrado
Equivalente de folato,mcg,"52,2","10,4","67,8",BRC0131T,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0131T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0131T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0131T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0131T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0131T,Nome não encontrado
