componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,537,BRC0105N,Nome não encontrado
Energia,kcal,128,BRC0105N,Nome não encontrado
Umidade,g,"74,5",BRC0105N,Nome não encontrado
Carboidrato total,g,"7,94",BRC0105N,Nome não encontrado
Carboidrato disponível,g,"7,03",BRC0105N,Nome não encontrado
Proteína,g,"10,8",BRC0105N,Nome não encontrado
Lipídios,g,"6,10",BRC0105N,Nome não encontrado
Fibra alimentar,g,"0,91",BRC0105N,Nome não encontrado
Álcool,g,"0,00",BRC0105N,Nome não encontrado
Cinzas,g,"0,63",BRC0105N,Nome não encontrado
Colesterol,mg,"37,4",BRC0105N,Nome não encontrado
Ácidos graxos saturados,g,"2,28",BRC0105N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,84",BRC0105N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,47",BRC0105N,Nome não encontrado
Ácidos graxos trans,g,"0,11",BRC0105N,Nome não encontrado
Cálcio,mg,"26,7",BRC0105N,Nome não encontrado
Ferro,mg,"1,36",BRC0105N,Nome não encontrado
Sódio,mg,149,BRC0105N,Nome não encontrado
Magnésio,mg,"10,7",BRC0105N,Nome não encontrado
Fósforo,mg,"67,2",BRC0105N,Nome não encontrado
Potássio,mg,180,BRC0105N,Nome não encontrado
Manganês,mg,"0,03",BRC0105N,Nome não encontrado
Zinco,mg,"2,83",BRC0105N,Nome não encontrado
Cobre,mg,"0,04",BRC0105N,Nome não encontrado
Selênio,mcg,"0,37",BRC0105N,Nome não encontrado
Vitamina A (RE),mcg,"47,0",BRC0105N,Nome não encontrado
Vitamina A (RAE),mcg,"23,5",BRC0105N,Nome não encontrado
Vitamina D,mcg,"0,97",BRC0105N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,22",BRC0105N,Nome não encontrado
Tiamina,mg,"0,03",BRC0105N,Nome não encontrado
Riboflavina,mg,"0,03",BRC0105N,Nome não encontrado
Niacina,mg,"0,71",BRC0105N,Nome não encontrado
Vitamina B6,mg,"0,03",BRC0105N,Nome não encontrado
Vitamina B12,mcg,"0,94",BRC0105N,Nome não encontrado
Vitamina C,mg,"3,67",BRC0105N,Nome não encontrado
Equivalente de folato,mcg,"22,4",BRC0105N,Nome não encontrado
Sal de adição,g,"0,00",BRC0105N,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0105N,Nome não encontrado
Gordura de adição,g,-,BRC0105N,Nome não encontrado
Proteína vegetal,g,-,BRC0105N,Nome não encontrado
Proteína animal,g,-,BRC0105N,Nome não encontrado
