componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 g),codigo_alimento,nome_alimento
Energia,kJ,1062,1167,BRC0823F,Nome não encontrado
Energia,kcal,254,279,BRC0823F,Nome não encontrado
Umidade,g,"53,8","59,1",BRC0823F,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0823F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0823F,Nome não encontrado
Proteína,g,"29,0","31,9",BRC0823F,Nome não encontrado
Lipídios,g,"15,4","16,9",BRC0823F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0823F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0823F,Nome não encontrado
Cinzas,g,"1,60","1,76",BRC0823F,Nome não encontrado
Colesterol,mg,"95,3",104,BRC0823F,Nome não encontrado
Ácidos graxos saturados,g,"6,17","6,79",BRC0823F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,17","7,88",BRC0823F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,35","0,38",BRC0823F,Nome não encontrado
Ácidos graxos trans,g,"0,20","0,22",BRC0823F,Nome não encontrado
Cálcio,mg,"4,30","4,73",BRC0823F,Nome não encontrado
Ferro,mg,"3,36","3,70",BRC0823F,Nome não encontrado
Sódio,mg,239,263,BRC0823F,Nome não encontrado
Magnésio,mg,"24,6","27,1",BRC0823F,Nome não encontrado
Fósforo,mg,262,289,BRC0823F,Nome não encontrado
Potássio,mg,364,400,BRC0823F,Nome não encontrado
Manganês,mg,"0,01","0,01",BRC0823F,Nome não encontrado
Zinco,mg,"6,07","6,68",BRC0823F,Nome não encontrado
Cobre,mg,"0,16","0,17",BRC0823F,Nome não encontrado
Selênio,mcg,"41,4","45,5",BRC0823F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0823F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0823F,Nome não encontrado
Vitamina D,mcg,"0,13","0,15",BRC0823F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,47","0,52",BRC0823F,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0823F,Nome não encontrado
Riboflavina,mg,"0,07","0,08",BRC0823F,Nome não encontrado
Niacina,mg,"1,70","1,87",BRC0823F,Nome não encontrado
Vitamina B6,mg,"0,08","0,09",BRC0823F,Nome não encontrado
Vitamina B12,mcg,"3,35","3,68",BRC0823F,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0823F,Nome não encontrado
Equivalente de folato,mcg,"3,99","4,39",BRC0823F,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0823F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0823F,Nome não encontrado
Gordura de adição,g,-,-,BRC0823F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0823F,Nome não encontrado
Proteína animal,g,-,-,BRC0823F,Nome não encontrado
