componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,179,429,295,BRC0252C,Nome não encontrado
Energia,kcal,42,100,69,BRC0252C,Nome não encontrado
Umidade,g,"89,3",214,147,BRC0252C,Nome não encontrado
Carboidrato total,g,"10,5","25,3","17,4",BRC0252C,Nome não encontrado
Carboidrato disponível,g,"10,3","24,8","17,0",BRC0252C,Nome não encontrado
Proteína,g,"0,03","0,07","0,05",BRC0252C,Nome não encontrado
Lipídios,g,"0,04","0,09","0,06",BRC0252C,Nome não encontrado
Fibra alimentar,g,"0,23","0,54","0,37",BRC0252C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0252C,Nome não encontrado
Cinzas,g,"0,10","0,23","0,16",BRC0252C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0252C,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,04","0,02",BRC0252C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0252C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0252C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0252C,Nome não encontrado
Cálcio,mg,"3,49","8,39","5,77",BRC0252C,Nome não encontrado
Ferro,mg,"0,05","0,12","0,08",BRC0252C,Nome não encontrado
Sódio,mg,"3,52","8,46","5,81",BRC0252C,Nome não encontrado
Magnésio,mg,"3,33","7,99","5,49",BRC0252C,Nome não encontrado
Fósforo,mg,"4,58","11,0","7,55",BRC0252C,Nome não encontrado
Potássio,mg,"47,9",114,"79,0",BRC0252C,Nome não encontrado
Manganês,mg,"0,06","0,15","0,10",BRC0252C,Nome não encontrado
Zinco,mg,traços,traços,traços,BRC0252C,Nome não encontrado
Cobre,mg,"0,04","0,10","0,07",BRC0252C,Nome não encontrado
Selênio,mcg,"0,16","0,38","0,26",BRC0252C,Nome não encontrado
Vitamina A (RE),mcg,"0,25","0,60","0,41",BRC0252C,Nome não encontrado
Vitamina A (RAE),mcg,"0,13","0,30","0,21",BRC0252C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0252C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,09","0,06",BRC0252C,Nome não encontrado
Tiamina,mg,"0,02","0,05","0,04",BRC0252C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0252C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0252C,Nome não encontrado
Vitamina B6,mg,"0,02","0,04","0,03",BRC0252C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0252C,Nome não encontrado
Vitamina C,mg,"6,45","15,5","10,6",BRC0252C,Nome não encontrado
Equivalente de folato,mcg,"0,26","0,61","0,42",BRC0252C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0252C,Nome não encontrado
Açúcar de adição,g,,,,BRC0252C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0252C,Nome não encontrado
Proteína vegetal,g,"0,03","0,07","0,05",BRC0252C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0252C,Nome não encontrado
