componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (13 g),codigo_alimento,nome_alimento
Energia,kJ,1511,302,196,BRC0125A,Nome não encontrado
Energia,kcal,357,71,46,BRC0125A,Nome não encontrado
Umidade,g,"10,7","2,13","1,39",BRC0125A,Nome não encontrado
Carboidrato total,g,"79,7","15,9","10,4",BRC0125A,Nome não encontrado
Carboidrato disponível,g,"75,3","15,1","9,79",BRC0125A,Nome não encontrado
Proteína,g,"7,06","1,41","0,92",BRC0125A,Nome não encontrado
Lipídios,g,"2,03","0,41","0,26",BRC0125A,Nome não encontrado
Fibra alimentar,g,"4,38","0,88","0,57",BRC0125A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0125A,Nome não encontrado
Cinzas,g,"0,53","0,11","0,07",BRC0125A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0125A,Nome não encontrado
Ácidos graxos saturados,g,"0,46","0,09","0,06",BRC0125A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,95","0,19","0,12",BRC0125A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,41","0,28","0,18",BRC0125A,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0125A,Nome não encontrado
Cálcio,mg,"3,63","0,73","0,47",BRC0125A,Nome não encontrado
Ferro,mg,"5,05","1,01","0,66",BRC0125A,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0125A,Nome não encontrado
Magnésio,mg,"62,2","12,4","8,08",BRC0125A,Nome não encontrado
Fósforo,mg,108,"21,8","14,1",BRC0125A,Nome não encontrado
Potássio,mg,169,"34,0","22,1",BRC0125A,Nome não encontrado
Manganês,mg,"0,34","0,07","0,04",BRC0125A,Nome não encontrado
Zinco,mg,"1,22","0,24","0,16",BRC0125A,Nome não encontrado
Cobre,mg,"0,08","0,02","0,01",BRC0125A,Nome não encontrado
Selênio,mcg,"3,80","0,76","0,49",BRC0125A,Nome não encontrado
Vitamina A (RE),mcg,"31,3","6,26","4,07",BRC0125A,Nome não encontrado
Vitamina A (RAE),mcg,"15,7","3,13","2,03",BRC0125A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0125A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,22","0,04","0,03",BRC0125A,Nome não encontrado
Tiamina,mg,"0,26","0,05","0,03",BRC0125A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0125A,Nome não encontrado
Niacina,mg,"0,75","0,15","0,10",BRC0125A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0125A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0125A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0125A,Nome não encontrado
Equivalente de folato,mcg,302,"60,5","39,3",BRC0125A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0125A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0125A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0125A,Nome não encontrado
Proteína vegetal,g,"7,06","1,41","0,92",BRC0125A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0125A,Nome não encontrado
