componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (28 g),Colher sopa cheia (20 g),Colher sopa rasa (15 g),Escumadeira cheia (110 g),Escumadeira rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,88,39,24,17,13,96,52,BRC0050B,Nome não encontrado
Energia,kcal,21,9,5,4,3,23,12,BRC0050B,Nome não encontrado
Umidade,g,"94,1","42,3","26,3","18,8","14,1",103,"56,4",BRC0050B,Nome não encontrado
Carboidrato total,g,"5,09","2,29","1,43","1,02","0,76","5,60","3,06",BRC0050B,Nome não encontrado
Carboidrato disponível,g,"3,70","1,67","1,04","0,74","0,56","4,07","2,22",BRC0050B,Nome não encontrado
Proteína,g,"0,50","0,23","0,14","0,10","0,08","0,55","0,30",BRC0050B,Nome não encontrado
Lipídios,g,"0,15","0,07","0,04","0,03","0,02","0,17","0,09",BRC0050B,Nome não encontrado
Fibra alimentar,g,"1,39","0,63","0,39","0,28","0,21","1,53","0,83",BRC0050B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
Cinzas,g,"0,19","0,08","0,05","0,04","0,03","0,20","0,11",BRC0050B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,01","0,01","0,00","0,04","0,02",BRC0050B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,01","0,00","0,00","0,00","0,01","0,01",BRC0050B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,03","0,02","0,01","0,01","0,07","0,04",BRC0050B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
Cálcio,mg,"8,53","3,84","2,39","1,71","1,28","9,39","5,12",BRC0050B,Nome não encontrado
Ferro,mg,"0,07","0,03","0,02","0,01","0,01","0,07","0,04",BRC0050B,Nome não encontrado
Sódio,mg,"1,97","0,89","0,55","0,39","0,30","2,17","1,18",BRC0050B,Nome não encontrado
Magnésio,mg,"7,56","3,40","2,12","1,51","1,13","8,31","4,53",BRC0050B,Nome não encontrado
Fósforo,mg,"14,0","6,28","3,91","2,79","2,09","15,4","8,38",BRC0050B,Nome não encontrado
Potássio,mg,"59,3","26,7","16,6","11,9","8,89","65,2","35,6",BRC0050B,Nome não encontrado
Manganês,mg,"0,07","0,03","0,02","0,01","0,01","0,08","0,04",BRC0050B,Nome não encontrado
Zinco,mg,"0,10","0,05","0,03","0,02","0,02","0,11","0,06",BRC0050B,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,traços,traços,traços,BRC0050B,Nome não encontrado
Selênio,mcg,"0,27","0,12","0,08","0,05","0,04","0,30","0,16",BRC0050B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,02","0,01","0,01","0,01","0,05","0,03",BRC0050B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,01","0,01","0,00","0,04","0,02",BRC0050B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0050B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0050B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0050B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
Vitamina C,mg,"6,07","2,73","1,70","1,21","0,91","6,68","3,64",BRC0050B,Nome não encontrado
Equivalente de folato,mcg,"16,2","7,31","4,55","3,25","2,44","17,9","9,75",BRC0050B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
Proteína vegetal,g,"0,50","0,23","0,14","0,10","0,08","0,55","0,30",BRC0050B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0050B,Nome não encontrado
