componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,349,349,BRC0342E,Nome não encontrado
Energia,kcal,83,82,BRC0342E,Nome não encontrado
Umidade,g,"79,8","79,8",BRC0342E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0342E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0342E,Nome não encontrado
Proteína,g,"17,8","17,8",BRC0342E,Nome não encontrado
Lipídios,g,"1,27","1,27",BRC0342E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0342E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0342E,Nome não encontrado
Cinzas,g,"1,93","1,93",BRC0342E,Nome não encontrado
Colesterol,mg,305,305,BRC0342E,Nome não encontrado
Ácidos graxos saturados,g,"0,51","0,51",BRC0342E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,25","0,25",BRC0342E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,25","0,25",BRC0342E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0342E,Nome não encontrado
Cálcio,mg,"83,4","83,4",BRC0342E,Nome não encontrado
Ferro,mg,"2,24","2,24",BRC0342E,Nome não encontrado
Sódio,mg,519,519,BRC0342E,Nome não encontrado
Magnésio,mg,"17,6","17,6",BRC0342E,Nome não encontrado
Fósforo,mg,246,246,BRC0342E,Nome não encontrado
Potássio,mg,"94,4","94,4",BRC0342E,Nome não encontrado
Manganês,mg,"0,05","0,05",BRC0342E,Nome não encontrado
Zinco,mg,"1,15","1,15",BRC0342E,Nome não encontrado
Cobre,mg,"0,16","0,16",BRC0342E,Nome não encontrado
Selênio,mcg,"43,9","43,9",BRC0342E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0342E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0342E,Nome não encontrado
Vitamina D,mcg,"0,08","0,08",BRC0342E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,40","1,40",BRC0342E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0342E,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0342E,Nome não encontrado
Niacina,mg,"0,99","0,99",BRC0342E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0342E,Nome não encontrado
Vitamina B12,mcg,"1,53","1,53",BRC0342E,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0342E,Nome não encontrado
Equivalente de folato,mcg,"16,7","16,7",BRC0342E,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0342E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0342E,Nome não encontrado
Gordura de adição,g,-,-,BRC0342E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0342E,Nome não encontrado
Proteína animal,g,-,-,BRC0342E,Nome não encontrado
