componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 mL),codigo_alimento,nome_alimento
Energia,kJ,663,663,BRC0140H,Nome não encontrado
Energia,kcal,158,158,BRC0140H,Nome não encontrado
Umidade,g,"64,8","64,8",BRC0140H,Nome não encontrado
Carboidrato total,g,"25,9","25,9",BRC0140H,Nome não encontrado
Carboidrato disponível,g,"24,6","24,6",BRC0140H,Nome não encontrado
Proteína,g,"2,42","2,42",BRC0140H,Nome não encontrado
Lipídios,g,"1,95","1,95",BRC0140H,Nome não encontrado
Fibra alimentar,g,"1,30","1,30",BRC0140H,Nome não encontrado
Álcool,g,"4,16","4,16",BRC0140H,Nome não encontrado
Cinzas,g,"0,76","0,76",BRC0140H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0140H,Nome não encontrado
Ácidos graxos saturados,g,"1,13","1,13",BRC0140H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,46","0,46",BRC0140H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,12",BRC0140H,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,06",BRC0140H,Nome não encontrado
Cálcio,mg,"69,8","69,8",BRC0140H,Nome não encontrado
Ferro,mg,"0,18","0,18",BRC0140H,Nome não encontrado
Sódio,mg,"26,1","26,1",BRC0140H,Nome não encontrado
Magnésio,mg,"11,0","11,0",BRC0140H,Nome não encontrado
Fósforo,mg,"57,6","57,6",BRC0140H,Nome não encontrado
Potássio,mg,172,172,BRC0140H,Nome não encontrado
Manganês,mg,"0,24","0,24",BRC0140H,Nome não encontrado
Zinco,mg,"0,29","0,29",BRC0140H,Nome não encontrado
Cobre,mg,"0,08","0,08",BRC0140H,Nome não encontrado
Selênio,mcg,"4,08","4,08",BRC0140H,Nome não encontrado
Vitamina A (RE),mcg,"14,5","14,5",BRC0140H,Nome não encontrado
Vitamina A (RAE),mcg,"7,23","7,23",BRC0140H,Nome não encontrado
Vitamina D,mcg,"0,04","0,04",BRC0140H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,20","0,20",BRC0140H,Nome não encontrado
Tiamina,mg,"0,05","0,05",BRC0140H,Nome não encontrado
Riboflavina,mg,"0,09","0,09",BRC0140H,Nome não encontrado
Niacina,mg,traços,traços,BRC0140H,Nome não encontrado
Vitamina B6,mg,"0,16","0,16",BRC0140H,Nome não encontrado
Vitamina B12,mcg,"0,12","0,12",BRC0140H,Nome não encontrado
Vitamina C,mg,"17,8","17,8",BRC0140H,Nome não encontrado
Equivalente de folato,mcg,"10,6","10,6",BRC0140H,Nome não encontrado
Sal de adição,g,,,BRC0140H,Nome não encontrado
Açúcar de adição,g,,,BRC0140H,Nome não encontrado
Gordura de adição,g,-,-,BRC0140H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0140H,Nome não encontrado
Proteína animal,g,-,-,BRC0140H,Nome não encontrado
