componente,unidade,Valor por 100g,Xícara chá (30 g),codigo_alimento,nome_alimento
Energia,kJ,52,15,BRC0071B,Nome não encontrado
Energia,kcal,12,3,BRC0071B,Nome não encontrado
Umidade,g,"95,1","28,5",BRC0071B,Nome não encontrado
Carboidrato total,g,"2,76","0,83",BRC0071B,Nome não encontrado
Carboidrato disponível,g,"0,56","0,17",BRC0071B,Nome não encontrado
Proteína,g,"1,14","0,34",BRC0071B,Nome não encontrado
Lipídios,g,"0,14","0,04",BRC0071B,Nome não encontrado
Fibra alimentar,g,"2,20","0,66",BRC0071B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0071B,Nome não encontrado
Cinzas,g,"0,82","0,25",BRC0071B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0071B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01",BRC0071B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,BRC0071B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,02",BRC0071B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0071B,Nome não encontrado
Cálcio,mg,"47,4","14,2",BRC0071B,Nome não encontrado
Ferro,mg,"0,48","0,14",BRC0071B,Nome não encontrado
Sódio,mg,"16,3","4,88",BRC0071B,Nome não encontrado
Magnésio,mg,"15,6","4,67",BRC0071B,Nome não encontrado
Fósforo,mg,"13,4","4,01",BRC0071B,Nome não encontrado
Potássio,mg,531,159,BRC0071B,Nome não encontrado
Manganês,mg,"0,22","0,07",BRC0071B,Nome não encontrado
Zinco,mg,"0,17","0,05",BRC0071B,Nome não encontrado
Cobre,mg,"0,05","0,02",BRC0071B,Nome não encontrado
Selênio,mcg,"0,16","0,05",BRC0071B,Nome não encontrado
Vitamina A (RE),mcg,155,"46,6",BRC0071B,Nome não encontrado
Vitamina A (RAE),mcg,"77,6","23,3",BRC0071B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0071B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,09",BRC0071B,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0071B,Nome não encontrado
Riboflavina,mg,"0,10","0,03",BRC0071B,Nome não encontrado
Niacina,mg,"0,68","0,20",BRC0071B,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0071B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0071B,Nome não encontrado
Vitamina C,mg,"6,54","1,96",BRC0071B,Nome não encontrado
Equivalente de folato,mcg,111,"33,4",BRC0071B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0071B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0071B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0071B,Nome não encontrado
Proteína vegetal,g,"1,14","0,34",BRC0071B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0071B,Nome não encontrado
