componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,230,459,BRC0113H,Nome não encontrado
Energia,kcal,54,108,BRC0113H,Nome não encontrado
Umidade,g,"85,9",171,BRC0113H,Nome não encontrado
Carboidrato total,g,"11,1","22,1",BRC0113H,Nome não encontrado
Carboidrato disponível,g,"10,3","20,6",BRC0113H,Nome não encontrado
Proteína,g,"2,11","4,23",BRC0113H,Nome não encontrado
Lipídios,g,"0,34","0,68",BRC0113H,Nome não encontrado
Fibra alimentar,g,"0,76","1,51",BRC0113H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0113H,Nome não encontrado
Cinzas,g,"0,58","1,16",BRC0113H,Nome não encontrado
Colesterol,mg,"28,4","56,8",BRC0113H,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,40",BRC0113H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,07","0,14",BRC0113H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,04",BRC0113H,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02",BRC0113H,Nome não encontrado
Cálcio,mg,103,207,BRC0113H,Nome não encontrado
Ferro,mg,"0,24","0,47",BRC0113H,Nome não encontrado
Sódio,mg,"35,7","71,4",BRC0113H,Nome não encontrado
Magnésio,mg,"10,4","20,9",BRC0113H,Nome não encontrado
Fósforo,mg,"59,8",119,BRC0113H,Nome não encontrado
Potássio,mg,120,240,BRC0113H,Nome não encontrado
Manganês,mg,"0,31","0,62",BRC0113H,Nome não encontrado
Zinco,mg,"0,29","0,58",BRC0113H,Nome não encontrado
Cobre,mg,"0,03","0,05",BRC0113H,Nome não encontrado
Selênio,mcg,"0,03","0,06",BRC0113H,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0113H,Nome não encontrado
Vitamina A (RAE),mcg,"6,18","12,4",BRC0113H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0113H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,11",BRC0113H,Nome não encontrado
Tiamina,mg,"0,03","0,06",BRC0113H,Nome não encontrado
Riboflavina,mg,"0,18","0,36",BRC0113H,Nome não encontrado
Niacina,mg,"1,07","2,14",BRC0113H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0113H,Nome não encontrado
Vitamina B12,mcg,"0,37","0,74",BRC0113H,Nome não encontrado
Vitamina C,mg,"0,04","0,08",BRC0113H,Nome não encontrado
Equivalente de folato,mcg,"3,74","7,48",BRC0113H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0113H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0113H,Nome não encontrado
Gordura de adição,g,-,-,BRC0113H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0113H,Nome não encontrado
Proteína animal,g,-,-,BRC0113H,Nome não encontrado
