componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,370,221,166,369,BRC0424E,Nome não encontrado
Energia,kcal,88,52,39,87,BRC0424E,Nome não encontrado
Umidade,g,"78,2","46,9","35,2","78,2",BRC0424E,Nome não encontrado
Carboidrato total,g,"2,05","1,23","0,92","2,05",BRC0424E,Nome não encontrado
Carboidrato disponível,g,"1,54","0,92","0,69","1,54",BRC0424E,Nome não encontrado
Proteína,g,"15,3","9,16","6,87","15,3",BRC0424E,Nome não encontrado
Lipídios,g,"2,15","1,29","0,97","2,15",BRC0424E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0424E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0424E,Nome não encontrado
Cinzas,g,"2,29","1,37","1,03","2,29",BRC0424E,Nome não encontrado
Colesterol,mg,"80,6","48,4","36,3","80,6",BRC0424E,Nome não encontrado
Ácidos graxos saturados,g,"0,45","0,27","0,20","0,45",BRC0424E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,26","0,20","0,43",BRC0424E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,60","0,45","1,01",BRC0424E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0424E,Nome não encontrado
Cálcio,mg,321,193,144,321,BRC0424E,Nome não encontrado
Ferro,mg,"0,62","0,37","0,28","0,62",BRC0424E,Nome não encontrado
Sódio,mg,196,118,"88,6",196,BRC0424E,Nome não encontrado
Magnésio,mg,"35,8","21,5","16,1","35,8",BRC0424E,Nome não encontrado
Fósforo,mg,322,193,145,322,BRC0424E,Nome não encontrado
Potássio,mg,354,212,159,354,BRC0424E,Nome não encontrado
Manganês,mg,"0,08","0,05","0,04","0,08",BRC0424E,Nome não encontrado
Zinco,mg,"0,58","0,35","0,26","0,58",BRC0424E,Nome não encontrado
Cobre,mg,"0,12","0,07","0,06","0,12",BRC0424E,Nome não encontrado
Selênio,mcg,"30,5","18,3","13,7","30,5",BRC0424E,Nome não encontrado
Vitamina A (RE),mcg,"27,3","16,4","12,3","27,3",BRC0424E,Nome não encontrado
Vitamina A (RAE),mcg,"13,7","8,20","6,15","13,7",BRC0424E,Nome não encontrado
Vitamina D,mcg,"1,06","0,64","0,48","1,06",BRC0424E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,49","0,29","0,22","0,49",BRC0424E,Nome não encontrado
Tiamina,mg,"0,09","0,06","0,04","0,09",BRC0424E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01",BRC0424E,Nome não encontrado
Niacina,mg,"6,04","3,63","2,72","6,04",BRC0424E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0424E,Nome não encontrado
Vitamina B12,mcg,"1,96","1,18","0,88","1,96",BRC0424E,Nome não encontrado
Vitamina C,mg,"4,07","2,44","1,83","4,07",BRC0424E,Nome não encontrado
Equivalente de folato,mcg,"13,8","8,26","6,20","13,8",BRC0424E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0424E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0424E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0424E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0424E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0424E,Nome não encontrado
