componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,569,341,256,569,BRC0428E,Nome não encontrado
Energia,kcal,136,81,61,135,BRC0428E,Nome não encontrado
Umidade,g,"71,7","43,0","32,3","71,7",BRC0428E,Nome não encontrado
Carboidrato total,g,"0,61","0,37","0,28","0,61",BRC0428E,Nome não encontrado
Carboidrato disponível,g,"0,10","0,06","0,05","0,10",BRC0428E,Nome não encontrado
Proteína,g,"18,9","11,4","8,53","18,9",BRC0428E,Nome não encontrado
Lipídios,g,"6,52","3,91","2,93","6,52",BRC0428E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0428E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0428E,Nome não encontrado
Cinzas,g,"2,24","1,34","1,01","2,24",BRC0428E,Nome não encontrado
Colesterol,mg,124,"74,9","56,2",124,BRC0428E,Nome não encontrado
Ácidos graxos saturados,g,"3,67","2,20","1,65","3,67",BRC0428E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,27","0,76","0,57","1,27",BRC0428E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,04","0,62","0,47","1,04",BRC0428E,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0428E,Nome não encontrado
Cálcio,mg,183,109,"82,4",183,BRC0428E,Nome não encontrado
Ferro,mg,"1,54","0,92","0,69","1,54",BRC0428E,Nome não encontrado
Sódio,mg,146,"87,7","65,7",146,BRC0428E,Nome não encontrado
Magnésio,mg,"34,0","20,4","15,3","34,0",BRC0428E,Nome não encontrado
Fósforo,mg,325,195,146,325,BRC0428E,Nome não encontrado
Potássio,mg,398,239,179,398,BRC0428E,Nome não encontrado
Manganês,mg,"0,12","0,07","0,06","0,12",BRC0428E,Nome não encontrado
Zinco,mg,"1,20","0,72","0,54","1,20",BRC0428E,Nome não encontrado
Cobre,mg,"0,17","0,10","0,07","0,17",BRC0428E,Nome não encontrado
Selênio,mcg,"51,6","31,0","23,2","51,6",BRC0428E,Nome não encontrado
Vitamina A (RE),mcg,"27,3","16,4","12,3","27,3",BRC0428E,Nome não encontrado
Vitamina A (RAE),mcg,"13,7","8,20","6,15","13,7",BRC0428E,Nome não encontrado
Vitamina D,mcg,"2,06","1,24","0,93","2,06",BRC0428E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,21","0,72","0,54","1,21",BRC0428E,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01","0,03",BRC0428E,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,03","0,07",BRC0428E,Nome não encontrado
Niacina,mg,"7,05","4,23","3,17","7,05",BRC0428E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0428E,Nome não encontrado
Vitamina B12,mcg,"5,03","3,02","2,26","5,03",BRC0428E,Nome não encontrado
Vitamina C,mg,"4,07","2,44","1,83","4,07",BRC0428E,Nome não encontrado
Equivalente de folato,mcg,"8,62","5,17","3,88","8,62",BRC0428E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0428E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0428E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0428E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0428E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0428E,Nome não encontrado
