componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,551,330,247,550,BRC0400E,Nome não encontrado
Energia,kcal,131,78,59,131,BRC0400E,Nome não encontrado
Umidade,g,"72,4","43,5","32,6","72,4",BRC0400E,Nome não encontrado
Carboidrato total,g,"2,26","1,36","1,02","2,26",BRC0400E,Nome não encontrado
Carboidrato disponível,g,"1,76","1,06","0,79","1,76",BRC0400E,Nome não encontrado
Proteína,g,"16,8","10,1","7,54","16,8",BRC0400E,Nome não encontrado
Lipídios,g,"6,27","3,76","2,82","6,27",BRC0400E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0400E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0400E,Nome não encontrado
Cinzas,g,"2,28","1,37","1,03","2,28",BRC0400E,Nome não encontrado
Colesterol,mg,"88,6","53,2","39,9","88,6",BRC0400E,Nome não encontrado
Ácidos graxos saturados,g,"1,09","0,65","0,49","1,09",BRC0400E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,38","0,83","0,62","1,38",BRC0400E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,44","2,07","1,55","3,44",BRC0400E,Nome não encontrado
Ácidos graxos trans,g,-,-,-,-,BRC0400E,Nome não encontrado
Cálcio,mg,353,212,159,353,BRC0400E,Nome não encontrado
Ferro,mg,"0,67","0,40","0,30","0,67",BRC0400E,Nome não encontrado
Sódio,mg,128,"76,9","57,7",128,BRC0400E,Nome não encontrado
Magnésio,mg,"38,9","23,4","17,5","38,9",BRC0400E,Nome não encontrado
Fósforo,mg,353,212,159,353,BRC0400E,Nome não encontrado
Potássio,mg,379,227,170,379,BRC0400E,Nome não encontrado
Manganês,mg,"0,09","0,06","0,04","0,09",BRC0400E,Nome não encontrado
Zinco,mg,"0,63","0,38","0,28","0,63",BRC0400E,Nome não encontrado
Cobre,mg,"0,14","0,09","0,06","0,14",BRC0400E,Nome não encontrado
Selênio,mcg,"33,5","20,1","15,1","33,5",BRC0400E,Nome não encontrado
Vitamina A (RE),mcg,"20,2","12,1","9,11","20,2",BRC0400E,Nome não encontrado
Vitamina A (RAE),mcg,"10,1","6,07","4,55","10,1",BRC0400E,Nome não encontrado
Vitamina D,mcg,"1,17","0,70","0,52","1,17",BRC0400E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,88","0,53","0,40","0,88",BRC0400E,Nome não encontrado
Tiamina,mg,"0,09","0,06","0,04","0,09",BRC0400E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01",BRC0400E,Nome não encontrado
Niacina,mg,"6,65","3,99","2,99","6,65",BRC0400E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0400E,Nome não encontrado
Vitamina B12,mcg,"2,16","1,29","0,97","2,16",BRC0400E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0400E,Nome não encontrado
Equivalente de folato,mcg,"15,2","9,15","6,86","15,2",BRC0400E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0400E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0400E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0400E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0400E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0400E,Nome não encontrado
