componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,388,213,BRC0340N,Nome não encontrado
Energia,kcal,92,50,BRC0340N,Nome não encontrado
Umidade,g,"78,2","43,0",BRC0340N,Nome não encontrado
Carboidrato total,g,"7,86","4,32",BRC0340N,Nome não encontrado
Carboidrato disponível,g,"6,01","3,30",BRC0340N,Nome não encontrado
Proteína,g,"10,7","5,88",BRC0340N,Nome não encontrado
Lipídios,g,"2,41","1,33",BRC0340N,Nome não encontrado
Fibra alimentar,g,"1,85","1,02",BRC0340N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0340N,Nome não encontrado
Cinzas,g,"0,90","0,49",BRC0340N,Nome não encontrado
Colesterol,mg,"17,6","9,67",BRC0340N,Nome não encontrado
Ácidos graxos saturados,g,"0,95","0,52",BRC0340N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,94","0,52",BRC0340N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,24","0,13",BRC0340N,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,03",BRC0340N,Nome não encontrado
Cálcio,mg,"10,9","6,00",BRC0340N,Nome não encontrado
Ferro,mg,"1,08","0,59",BRC0340N,Nome não encontrado
Sódio,mg,119,"65,9",BRC0340N,Nome não encontrado
Magnésio,mg,"14,6","8,05",BRC0340N,Nome não encontrado
Fósforo,mg,"81,3","44,7",BRC0340N,Nome não encontrado
Potássio,mg,206,113,BRC0340N,Nome não encontrado
Manganês,mg,"0,13","0,07",BRC0340N,Nome não encontrado
Zinco,mg,"2,18","1,20",BRC0340N,Nome não encontrado
Cobre,mg,"0,10","0,06",BRC0340N,Nome não encontrado
Selênio,mcg,"0,31","0,17",BRC0340N,Nome não encontrado
Vitamina A (RE),mcg,"81,0","44,5",BRC0340N,Nome não encontrado
Vitamina A (RAE),mcg,"41,0","22,5",BRC0340N,Nome não encontrado
Vitamina D,mcg,"0,09","0,05",BRC0340N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,35","0,74",BRC0340N,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0340N,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0340N,Nome não encontrado
Niacina,mg,"1,07","0,59",BRC0340N,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0340N,Nome não encontrado
Vitamina B12,mcg,"0,41","0,22",BRC0340N,Nome não encontrado
Vitamina C,mg,"4,43","2,44",BRC0340N,Nome não encontrado
Equivalente de folato,mcg,"19,2","10,5",BRC0340N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0340N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0340N,Nome não encontrado
Gordura de adição,g,-,-,BRC0340N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0340N,Nome não encontrado
Proteína animal,g,-,-,BRC0340N,Nome não encontrado
