componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,579,173,BRC0051G,Nome não encontrado
Energia,kcal,139,41,BRC0051G,Nome não encontrado
Umidade,g,"73,6","22,1",BRC0051G,Nome não encontrado
Carboidrato total,g,"3,79","1,14",BRC0051G,Nome não encontrado
Carboidrato disponível,g,"3,79","1,14",BRC0051G,Nome não encontrado
Proteína,g,"12,6","3,78",BRC0051G,Nome não encontrado
Lipídios,g,"8,11","2,43",BRC0051G,Nome não encontrado
Fibra alimentar,g,,,BRC0051G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0051G,Nome não encontrado
Cinzas,g,"1,93","0,58",BRC0051G,Nome não encontrado
Colesterol,mg,"48,7","14,6",BRC0051G,Nome não encontrado
Ácidos graxos saturados,g,"4,50","1,35",BRC0051G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,40","0,72",BRC0051G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,06",BRC0051G,Nome não encontrado
Ácidos graxos trans,g,"0,25","0,08",BRC0051G,Nome não encontrado
Cálcio,mg,253,"76,0",BRC0051G,Nome não encontrado
Ferro,mg,"0,14","0,04",BRC0051G,Nome não encontrado
Sódio,mg,282,"84,8",BRC0051G,Nome não encontrado
Magnésio,mg,"11,8","3,54",BRC0051G,Nome não encontrado
Fósforo,mg,161,"48,5",BRC0051G,Nome não encontrado
Potássio,mg,112,"33,7",BRC0051G,Nome não encontrado
Manganês,mg,traços,traços,BRC0051G,Nome não encontrado
Zinco,mg,"0,46","0,14",BRC0051G,Nome não encontrado
Cobre,mg,traços,traços,BRC0051G,Nome não encontrado
Selênio,mcg,,,BRC0051G,Nome não encontrado
Vitamina A (RE),mcg,"56,3","16,9",BRC0051G,Nome não encontrado
Vitamina A (RAE),mcg,"54,6","16,4",BRC0051G,Nome não encontrado
Vitamina D,mcg,"0,13","0,04",BRC0051G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,02",BRC0051G,Nome não encontrado
Tiamina,mg,traços,traços,BRC0051G,Nome não encontrado
Riboflavina,mg,"0,15","0,04",BRC0051G,Nome não encontrado
Niacina,mg,traços,traços,BRC0051G,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0051G,Nome não encontrado
Vitamina B12,mcg,"0,32","0,10",BRC0051G,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0051G,Nome não encontrado
Equivalente de folato,mcg,"11,2","3,36",BRC0051G,Nome não encontrado
Sal de adição,g,,,BRC0051G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0051G,Nome não encontrado
Gordura de adição,g,,,BRC0051G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0051G,Nome não encontrado
Proteína animal,g,"12,6","3,78",BRC0051G,Nome não encontrado
