componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (90 unidade),codigo_alimento,nome_alimento
Energia,kJ,1166,1049,BRC0677A,Nome não encontrado
Energia,kcal,277,249,BRC0677A,Nome não encontrado
Umidade,g,"37,8","34,1",BRC0677A,Nome não encontrado
Carboidrato total,g,"38,7","34,8",BRC0677A,Nome não encontrado
Carboidrato disponível,g,"37,3","33,6",BRC0677A,Nome não encontrado
Proteína,g,"13,2","11,9",BRC0677A,Nome não encontrado
Lipídios,g,"8,01","7,21",BRC0677A,Nome não encontrado
Fibra alimentar,g,"1,42","1,28",BRC0677A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0677A,Nome não encontrado
Cinzas,g,"2,22","2,00",BRC0677A,Nome não encontrado
Colesterol,mg,"29,4","26,5",BRC0677A,Nome não encontrado
Ácidos graxos saturados,g,"3,38","3,04",BRC0677A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,53","2,28",BRC0677A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,31","1,18",BRC0677A,Nome não encontrado
Ácidos graxos trans,g,"0,18","0,16",BRC0677A,Nome não encontrado
Cálcio,mg,141,127,BRC0677A,Nome não encontrado
Ferro,mg,"2,96","2,67",BRC0677A,Nome não encontrado
Sódio,mg,549,494,BRC0677A,Nome não encontrado
Magnésio,mg,"25,1","22,6",BRC0677A,Nome não encontrado
Fósforo,mg,173,156,BRC0677A,Nome não encontrado
Potássio,mg,172,155,BRC0677A,Nome não encontrado
Manganês,mg,"0,23","0,21",BRC0677A,Nome não encontrado
Zinco,mg,"1,14","1,02",BRC0677A,Nome não encontrado
Cobre,mg,"0,10","0,09",BRC0677A,Nome não encontrado
Selênio,mcg,"6,56","5,90",BRC0677A,Nome não encontrado
Vitamina A (RE),mcg,"45,4","40,8",BRC0677A,Nome não encontrado
Vitamina A (RAE),mcg,"38,3","34,5",BRC0677A,Nome não encontrado
Vitamina D,mcg,"0,18","0,16",BRC0677A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,70","0,63",BRC0677A,Nome não encontrado
Tiamina,mg,"0,13","0,11",BRC0677A,Nome não encontrado
Riboflavina,mg,"0,08","0,07",BRC0677A,Nome não encontrado
Niacina,mg,"1,08","0,98",BRC0677A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0677A,Nome não encontrado
Vitamina B12,mcg,"0,67","0,60",BRC0677A,Nome não encontrado
Vitamina C,mg,"1,83","1,65",BRC0677A,Nome não encontrado
Equivalente de folato,mcg,"95,4","85,8",BRC0677A,Nome não encontrado
Sal de adição,g,,,BRC0677A,Nome não encontrado
Açúcar de adição,g,,,BRC0677A,Nome não encontrado
Gordura de adição,g,-,-,BRC0677A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0677A,Nome não encontrado
Proteína animal,g,-,-,BRC0677A,Nome não encontrado
