componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,263,91,44,367,210,BRC0224T,Nome não encontrado
Energia,kcal,63,22,10,88,50,BRC0224T,Nome não encontrado
Umidade,g,"81,7","28,6","13,9",114,"65,4",BRC0224T,Nome não encontrado
Carboidrato total,g,"12,1","4,22","2,05","16,9","9,64",BRC0224T,Nome não encontrado
Carboidrato disponível,g,"5,54","1,94","0,94","7,76","4,43",BRC0224T,Nome não encontrado
Proteína,g,"3,58","1,25","0,61","5,01","2,86",BRC0224T,Nome não encontrado
Lipídios,g,"1,50","0,52","0,25","2,10","1,20",BRC0224T,Nome não encontrado
Fibra alimentar,g,"6,52","2,28","1,11","9,12","5,21",BRC0224T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0224T,Nome não encontrado
Cinzas,g,"1,18","0,41","0,20","1,65","0,94",BRC0224T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0224T,Nome não encontrado
Ácidos graxos saturados,g,"0,24","0,08","0,04","0,34","0,19",BRC0224T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,33","0,12","0,06","0,46","0,26",BRC0224T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,88","0,31","0,15","1,23","0,70",BRC0224T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01","0,00",BRC0224T,Nome não encontrado
Cálcio,mg,"24,5","8,57","4,16","34,3","19,6",BRC0224T,Nome não encontrado
Ferro,mg,"1,10","0,38","0,19","1,54","0,88",BRC0224T,Nome não encontrado
Sódio,mg,186,"65,1","31,6",260,148,BRC0224T,Nome não encontrado
Magnésio,mg,"32,6","11,4","5,55","45,7","26,1",BRC0224T,Nome não encontrado
Fósforo,mg,"71,6","25,0","12,2",100,"57,2",BRC0224T,Nome não encontrado
Potássio,mg,246,"86,4","42,0",345,197,BRC0224T,Nome não encontrado
Manganês,mg,"0,31","0,11","0,05","0,43","0,24",BRC0224T,Nome não encontrado
Zinco,mg,"1,39","0,49","0,24","1,94","1,11",BRC0224T,Nome não encontrado
Cobre,mg,"0,41","0,14","0,07","0,57","0,33",BRC0224T,Nome não encontrado
Selênio,mcg,"1,97","0,69","0,34","2,76","1,58",BRC0224T,Nome não encontrado
Vitamina A (RE),mcg,,,,,,BRC0224T,Nome não encontrado
Vitamina A (RAE),mcg,,,,,,BRC0224T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0224T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,15","0,05","0,03","0,21","0,12",BRC0224T,Nome não encontrado
Tiamina,mg,"0,07","0,02","0,01","0,09","0,05",BRC0224T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0224T,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0224T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01","0,04","0,02",BRC0224T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0224T,Nome não encontrado
Vitamina C,mg,"0,68","0,24","0,12","0,95","0,54",BRC0224T,Nome não encontrado
Equivalente de folato,mcg,"73,6","25,8","12,5",103,"58,9",BRC0224T,Nome não encontrado
Sal de adição,g,"0,45","0,16","0,08","0,63","0,36",BRC0224T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0224T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0224T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0224T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0224T,Nome não encontrado
