componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,402,180,BRC0951B,Nome não encontrado
Energia,kcal,97,43,BRC0951B,Nome não encontrado
Umidade,g,"83,6","37,6",BRC0951B,Nome não encontrado
Carboidrato total,g,"4,94","2,22",BRC0951B,Nome não encontrado
Carboidrato disponível,g,"2,89","1,30",BRC0951B,Nome não encontrado
Proteína,g,"2,03","0,91",BRC0951B,Nome não encontrado
Lipídios,g,"8,18","3,68",BRC0951B,Nome não encontrado
Fibra alimentar,g,"2,05","0,92",BRC0951B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0951B,Nome não encontrado
Cinzas,g,"1,23","0,55",BRC0951B,Nome não encontrado
Colesterol,mg,"19,3","8,67",BRC0951B,Nome não encontrado
Ácidos graxos saturados,g,"5,05","2,27",BRC0951B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,98","0,89",BRC0951B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,14","0,06",BRC0951B,Nome não encontrado
Ácidos graxos trans,g,"0,25","0,11",BRC0951B,Nome não encontrado
Cálcio,mg,"7,71","3,47",BRC0951B,Nome não encontrado
Ferro,mg,"1,61","0,72",BRC0951B,Nome não encontrado
Sódio,mg,342,154,BRC0951B,Nome não encontrado
Magnésio,mg,"11,4","5,13",BRC0951B,Nome não encontrado
Fósforo,mg,"79,5","35,8",BRC0951B,Nome não encontrado
Potássio,mg,324,146,BRC0951B,Nome não encontrado
Manganês,mg,"0,14","0,06",BRC0951B,Nome não encontrado
Zinco,mg,"0,79","0,36",BRC0951B,Nome não encontrado
Cobre,mg,"0,46","0,21",BRC0951B,Nome não encontrado
Selênio,mcg,"12,2","5,48",BRC0951B,Nome não encontrado
Vitamina A (RE),mcg,"96,4","43,4",BRC0951B,Nome não encontrado
Vitamina A (RAE),mcg,"93,8","42,2",BRC0951B,Nome não encontrado
Vitamina D,mcg,"0,18","0,08",BRC0951B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,24","0,11",BRC0951B,Nome não encontrado
Tiamina,mg,"0,07","0,03",BRC0951B,Nome não encontrado
Riboflavina,mg,"0,27","0,12",BRC0951B,Nome não encontrado
Niacina,mg,"4,02","1,81",BRC0951B,Nome não encontrado
Vitamina B6,mg,"0,08","0,04",BRC0951B,Nome não encontrado
Vitamina B12,mcg,"0,02","0,01",BRC0951B,Nome não encontrado
Vitamina C,mg,"3,76","1,69",BRC0951B,Nome não encontrado
Equivalente de folato,mcg,"17,1","7,69",BRC0951B,Nome não encontrado
Sal de adição,g,"0,32","0,14",BRC0951B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0951B,Nome não encontrado
Gordura de adição,g,-,-,BRC0951B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0951B,Nome não encontrado
Proteína animal,g,-,-,BRC0951B,Nome não encontrado
