componente,unidade,Valor por 100g,Colher sopa rasa (13 g),codigo_alimento,nome_alimento
Energia,kJ,331,43,BRC0037L,Nome não encontrado
Energia,kcal,78,10,BRC0037L,Nome não encontrado
Umidade,g,"78,5","10,2",BRC0037L,Nome não encontrado
Carboidrato total,g,"19,5","2,53",BRC0037L,Nome não encontrado
Carboidrato disponível,g,"19,5","2,53",BRC0037L,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0037L,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0037L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0037L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0037L,Nome não encontrado
Cinzas,g,"2,00","0,26",BRC0037L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0037L,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0037L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0037L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0037L,Nome não encontrado
Ácidos graxos trans,g,,,BRC0037L,Nome não encontrado
Cálcio,mg,107,"13,9",BRC0037L,Nome não encontrado
Ferro,mg,"5,30","0,69",BRC0037L,Nome não encontrado
Sódio,mg,980,127,BRC0037L,Nome não encontrado
Magnésio,mg,"13,0","1,69",BRC0037L,Nome não encontrado
Fósforo,mg,"60,0","7,80",BRC0037L,Nome não encontrado
Potássio,mg,800,104,BRC0037L,Nome não encontrado
Manganês,mg,,,BRC0037L,Nome não encontrado
Zinco,mg,"0,19","0,02",BRC0037L,Nome não encontrado
Cobre,mg,"0,20","0,03",BRC0037L,Nome não encontrado
Selênio,mcg,"0,50","0,07",BRC0037L,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0037L,Nome não encontrado
Vitamina A (RAE),mcg,"5,00","0,65",BRC0037L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0037L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,01",BRC0037L,Nome não encontrado
Tiamina,mg,"0,07","0,01",BRC0037L,Nome não encontrado
Riboflavina,mg,"0,13","0,02",BRC0037L,Nome não encontrado
Niacina,mg,"0,70","0,09",BRC0037L,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0037L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0037L,Nome não encontrado
Vitamina C,mg,"13,0","1,69",BRC0037L,Nome não encontrado
Equivalente de folato,mcg,"8,00","1,04",BRC0037L,Nome não encontrado
Sal de adição,g,,,BRC0037L,Nome não encontrado
Açúcar de adição,g,,,BRC0037L,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0037L,Nome não encontrado
Proteína vegetal,g,-,-,BRC0037L,Nome não encontrado
Proteína animal,g,-,-,BRC0037L,Nome não encontrado
