componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,201,8,2,BRC0832B,Nome não encontrado
Energia,kcal,48,1,0,BRC0832B,Nome não encontrado
Umidade,g,"86,0","3,44","0,86",BRC0832B,Nome não encontrado
Carboidrato total,g,"7,02","0,28","0,07",BRC0832B,Nome não encontrado
Carboidrato disponível,g,"4,92","0,20","0,05",BRC0832B,Nome não encontrado
Proteína,g,"3,46","0,14","0,03",BRC0832B,Nome não encontrado
Lipídios,g,"1,12","0,04","0,01",BRC0832B,Nome não encontrado
Fibra alimentar,g,"2,10","0,08","0,02",BRC0832B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0832B,Nome não encontrado
Cinzas,g,"2,45","0,10","0,02",BRC0832B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0832B,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,00","0,00",BRC0832B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,80","0,03","0,01",BRC0832B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,00","0,00",BRC0832B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0832B,Nome não encontrado
Cálcio,mg,208,"8,32","2,08",BRC0832B,Nome não encontrado
Ferro,mg,"6,59","0,26","0,07",BRC0832B,Nome não encontrado
Sódio,mg,"61,0","2,44","0,61",BRC0832B,Nome não encontrado
Magnésio,mg,"55,0","2,20","0,55",BRC0832B,Nome não encontrado
Fósforo,mg,"66,0","2,64","0,66",BRC0832B,Nome não encontrado
Potássio,mg,738,"29,5","7,38",BRC0832B,Nome não encontrado
Manganês,mg,"1,26","0,05","0,01",BRC0832B,Nome não encontrado
Zinco,mg,"0,91","0,04","0,01",BRC0832B,Nome não encontrado
Cobre,mg,"0,15","0,01","0,00",BRC0832B,Nome não encontrado
Selênio,mcg,,,,BRC0832B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0832B,Nome não encontrado
Vitamina A (RAE),mcg,386,"15,4","3,86",BRC0832B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0832B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0832B,Nome não encontrado
Tiamina,mg,"0,06","0,00","0,00",BRC0832B,Nome não encontrado
Riboflavina,mg,"0,30","0,01","0,00",BRC0832B,Nome não encontrado
Niacina,mg,"1,57","0,06","0,02",BRC0832B,Nome não encontrado
Vitamina B6,mg,"0,19","0,01","0,00",BRC0832B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0832B,Nome não encontrado
Vitamina C,mg,"85,0","3,40","0,85",BRC0832B,Nome não encontrado
Equivalente de folato,mcg,150,"6,00","1,50",BRC0832B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0832B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0832B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0832B,Nome não encontrado
Proteína vegetal,g,"3,46","0,14","0,03",BRC0832B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0832B,Nome não encontrado
