componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,204,30,BRC0046L,Nome não encontrado
Energia,kcal,48,7,BRC0046L,Nome não encontrado
Umidade,g,"87,9","13,2",BRC0046L,Nome não encontrado
Carboidrato total,g,"11,8","1,77",BRC0046L,Nome não encontrado
Carboidrato disponível,g,"11,8","1,77",BRC0046L,Nome não encontrado
Proteína,g,"0,20","0,03",BRC0046L,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0046L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0046L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0046L,Nome não encontrado
Cinzas,g,"0,10","0,02",BRC0046L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0046L,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0046L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0046L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0046L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0046L,Nome não encontrado
Cálcio,mg,"2,00","0,30",BRC0046L,Nome não encontrado
Ferro,mg,"0,10","0,02",BRC0046L,Nome não encontrado
Sódio,mg,"12,0","1,80",BRC0046L,Nome não encontrado
Magnésio,mg,"6,00","0,90",BRC0046L,Nome não encontrado
Fósforo,mg,"15,0","2,25",BRC0046L,Nome não encontrado
Potássio,mg,"16,0","2,40",BRC0046L,Nome não encontrado
Manganês,mg,,,BRC0046L,Nome não encontrado
Zinco,mg,"0,20","0,03",BRC0046L,Nome não encontrado
Cobre,mg,traços,traços,BRC0046L,Nome não encontrado
Selênio,mcg,traços,traços,BRC0046L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0046L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0046L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0046L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0046L,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0046L,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0046L,Nome não encontrado
Niacina,mg,"0,30","0,05",BRC0046L,Nome não encontrado
Vitamina B6,mg,"0,02","0,00",BRC0046L,Nome não encontrado
Vitamina B12,mcg,"0,10","0,02",BRC0046L,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0046L,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0046L,Nome não encontrado
Sal de adição,g,,,BRC0046L,Nome não encontrado
Açúcar de adição,g,,,BRC0046L,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0046L,Nome não encontrado
Proteína vegetal,g,"0,20","0,03",BRC0046L,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0046L,Nome não encontrado
