componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,690,344,172,758,620,BRC0963A,Nome não encontrado
Energia,kcal,164,82,41,180,147,BRC0963A,Nome não encontrado
Umidade,g,"64,7","32,3","16,2","71,1","58,2",BRC0963A,Nome não encontrado
Carboidrato total,g,"18,9","9,46","4,73","20,8","17,0",BRC0963A,Nome não encontrado
Carboidrato disponível,g,"16,4","8,22","4,11","18,1","14,8",BRC0963A,Nome não encontrado
Proteína,g,"9,80","4,90","2,45","10,8","8,82",BRC0963A,Nome não encontrado
Lipídios,g,"6,06","3,03","1,51","6,66","5,45",BRC0963A,Nome não encontrado
Fibra alimentar,g,"2,49","1,24","0,62","2,74","2,24",BRC0963A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0963A,Nome não encontrado
Cinzas,g,"0,57","0,28","0,14","0,62","0,51",BRC0963A,Nome não encontrado
Colesterol,mg,"14,6","7,32","3,66","16,1","13,2",BRC0963A,Nome não encontrado
Ácidos graxos saturados,g,"0,99","0,49","0,25","1,09","0,89",BRC0963A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,43","1,71","0,86","3,77","3,09",BRC0963A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,42","0,71","0,35","1,56","1,28",BRC0963A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00","0,01","0,01",BRC0963A,Nome não encontrado
Cálcio,mg,"9,71","4,86","2,43","10,7","8,74",BRC0963A,Nome não encontrado
Ferro,mg,"0,67","0,34","0,17","0,74","0,61",BRC0963A,Nome não encontrado
Sódio,mg,"90,3","45,2","22,6","99,4","81,3",BRC0963A,Nome não encontrado
Magnésio,mg,"16,0","8,00","4,00","17,6","14,4",BRC0963A,Nome não encontrado
Fósforo,mg,"86,7","43,3","21,7","95,3","78,0",BRC0963A,Nome não encontrado
Potássio,mg,109,"54,6","27,3",120,"98,2",BRC0963A,Nome não encontrado
Manganês,mg,"0,21","0,11","0,05","0,23","0,19",BRC0963A,Nome não encontrado
Zinco,mg,"0,46","0,23","0,11","0,50","0,41",BRC0963A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,02","0,07","0,05",BRC0963A,Nome não encontrado
Selênio,mcg,"15,0","7,49","3,74","16,5","13,5",BRC0963A,Nome não encontrado
Vitamina A (RE),mcg,"5,58","2,79","1,40","6,14","5,02",BRC0963A,Nome não encontrado
Vitamina A (RAE),mcg,"2,79","1,40","0,70","3,07","2,51",BRC0963A,Nome não encontrado
Vitamina D,mcg,"1,35","0,68","0,34","1,49","1,22",BRC0963A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,28","0,64","0,32","1,40","1,15",BRC0963A,Nome não encontrado
Tiamina,mg,"0,10","0,05","0,03","0,11","0,09",BRC0963A,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,01","0,05","0,04",BRC0963A,Nome não encontrado
Niacina,mg,"2,17","1,09","0,54","2,39","1,95",BRC0963A,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,02","0,07","0,05",BRC0963A,Nome não encontrado
Vitamina B12,mcg,"0,48","0,24","0,12","0,52","0,43",BRC0963A,Nome não encontrado
Vitamina C,mg,"0,34","0,17","0,08","0,37","0,31",BRC0963A,Nome não encontrado
Equivalente de folato,mcg,"14,1","7,04","3,52","15,5","12,7",BRC0963A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0963A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0963A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0963A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0963A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0963A,Nome não encontrado
